,Name,Mileage,Address,Rating,Fuel Type,City MPG,Highway MPG,Drivetrain,Engine,Exterior Color,Interior Color,Transmission,Entertainment,Safety,Price
0, 2017 Lincoln MKZ Hybrid Premiere,"16,089","Rosedale, MD 21237",4.9, Hybrid,41,38, FWD, 2.0L I4 16V MPFI DOHC Hybrid, White Platinum Tri-Coat Metallic, Ebony, Automatic CVT,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$22,275"
1, 2019 Toyota C-HR LE,"23,542","Baltimore, MD 21228",4.7, Gasoline,27,31, FWD, 2.0L I4 16V MPFI DOHC, Blue Eclipse Metallic, Gray, Automatic CVT,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Lane Departure Warning']","$17,900"
2,Certified 2018 Toyota RAV4 Limited,"27,595","Glen Burnie, MD 21061",4.9, Gasoline,22,28, AWD, 2.5L I4 16V MPFI DOHC, Galactic Aqua, Ash, 6-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Lane Departure Warning', 'Rear Cross Traffic Alert']","$26,900"
3,Certified 2019 Mercedes-Benz E 300 4MATIC,"25,800","Owings Mills, MD 21117",4.9, Gasoline,21,29, AWD, 2.0L I4 16V GDI DOHC Turbo, Polar White, Black, 9-Speed Automatic,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Blind Spot Monitor']","$41,500"
4, 2018 Mercedes-Benz E 300 4MATIC,"29,082","Owings Mills, MD 21117",4.9, Gasoline,21,29, AWD, 2.0L I4 16V GDI DOHC Turbo, Black, Black, 9-Speed Automatic,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control']","$42,500"
5, 2016 Jeep Wrangler Unlimited Sport,"69,514","Lutherville-Timonium, MD 21093",4.2, Gasoline,16,21, 4WD, 3.6L V6 24V MPFI DOHC, Mojave Sand Clearcoat, Black, 5-Speed Automatic,['Bluetooth'],"['Brake Assist', 'Stability Control']","$27,500"
6, 2020 Chevrolet Suburban LT,"21,849","White Marsh, MD 21162",4.7, Gasoline,14,21, 4WD, 5.3L V8 16V GDI OHV, Summit White, Cocoa / Dune, 6-Speed Automatic,"['Bluetooth', 'Rear Seat Entertainment', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Lane Departure Warning']","$55,000"
7, 2017 Lexus NX 200t Base,"25,306","White Marsh, MD 21162",4.7, Gasoline,22,28, AWD, 2.0L I4 16V PDI DOHC Turbo, Eminent White, Cream, 6-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control']","$28,500"
8, 2020 Subaru Legacy,"7,200","Owings Mills, MD 21117",4.8, Gasoline,27,35, AWD, 2.5L H4 16V GDI DOHC, Crystal Black Silica, Black, Automatic CVT,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control']","$26,900"
9,Certified 2017 Mercedes-Benz C 300,"41,504","Cockeysville, MD 21030",4.5, Gasoline,24,31, AWD, 2.0L I4 16V GDI DOHC Turbo, Designo Cardinal Red Metallic,-1, 7-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor']","$25,630"
10, 2016 Mercedes-Benz GLE 350 4MATIC,"71,597","Cockeysville, MD 21030",4.5, E85 Flex Fuel,17,22, AWD, 3.5L V6 24V GDI DOHC Flexible Fuel, Black,-1, 7-Speed Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor']","$26,981"
11, 2018 Genesis G90 3.3T Premium,"29,833","Millersville, MD 21108",4.8, Gasoline,17,24, AWD, 3.3L V6 24V GDI DOHC Twin Turbo, San Simeon Gray, Black, 8-Speed Automatic,"['Bluetooth', 'Rear Seat Entertainment', 'Premium Sound System']","['Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Lane Departure Warning', 'Rear Cross Traffic Alert']","$39,850"
