,Name,Mileage,Address,Rating,Fuel Type,City MPG,Highway MPG,Drivetrain,Engine,Exterior Color,Interior Color,Transmission,Entertainment,Safety,Price
0, 2018 Volkswagen Atlas 3.6L SE w/Technology,"33,371","Chicago, IL 60610",4.6, Gasoline,17,23, AWD, 3.6L V6 24V GDI DOHC, Pure White, Shetland Beige, 8-Speed Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Lane Departure Warning', 'Rear Cross Traffic Alert']","$29,001"
1, 2018 Jeep Compass Latitude,"24,671","Chicago, IL 60610",4, Gasoline,22,31, FWD, 2.4L I4 16V MPFI SOHC, Granite Crystal Clearcoat Metallic, Black, 6-Speed Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control']","$17,045"
2,Certified 2020 Mercedes-Benz GLC 300 Base 4MATIC,"13,335","Chicago, IL 60642",4.9, Gasoline,21,28, AWD, 2.0L I4 16V GDI DOHC Turbo, Polar White, Black, 9-Speed Automatic,['Bluetooth'],"['Brake Assist', 'Stability Control']","$42,552"
3, 2020 Acura RDX A-Spec,"17,775","Chicago, IL 60642",4.4, Gasoline,21,26, AWD, 2.0L I4 16V GDI DOHC Turbo, Majestic Black Pearl, Ebony, 10-Speed Automatic,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Lane Departure Warning']","$38,995"
4, 2016 Porsche Macan S,"35,046","Chicago, IL 60642",1.5, Gasoline,17,23, AWD, 3.0L V6 24V GDI DOHC Twin Turbo, Carrara White Metallic, Black, 7-Speed Automatic with Auto-Shift,['Bluetooth'],"['Brake Assist', 'Stability Control']","$39,000"
5, 2019 BMW X5 xDrive40i,"20,071","Chicago, IL 60642",4.4, Gasoline,20,26, AWD, 3.0L I6 24V GDI DOHC Turbo, Black Sapphire Metallic, Black, 8-Speed Automatic,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control']","$58,950"
6, 2018 Lexus NX 300h Base,"13,470","Chicago, IL 60642",4.7, Hybrid,33,30, AWD, 2.5L I4 16V MPFI DOHC Hybrid, Atomic Silver, Black, Automatic CVT,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Lane Departure Warning', 'Rear Cross Traffic Alert']","$37,998"
7, 2018 BMW M550 i xDrive,"22,446","Chicago, IL 60639",4.1, Gasoline,16,25, AWD, 4.4L V8 32V GDI DOHC Twin Turbo, Azurite Black Metallic, Black, 8-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Brake Assist', 'Stability Control']","$49,995"
8, 2012 GMC Yukon Denali,"119,949","Chicago, IL 60639",4.8, E85 Flex Fuel,13,18, AWD, 6.2L V8 16V MPFI OHV Flexible Fuel, Black, Black, 6-Speed Automatic,"['Bluetooth', 'Premium Sound System']",['Stability Control'],"$19,995"
9, 2019 Toyota Corolla Hatchback XSE,"23,324","Chicago, IL 60641",4.6, Gasoline,28,37, FWD, 2.0L I4 16V PDI DOHC, Super White, Black, Automatic CVT,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Blind Spot Monitor', 'Lane Departure Warning']","$18,143"
10, 2018 Mazda CX-3 Grand Touring,"29,065","Chicago, IL 60641",4.4, Gasoline,27,32, AWD, 2.0L I4 16V GDI DOHC, Ceramic Metallic, Black, 6-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Rear Cross Traffic Alert']","$20,499"
