,Name,Mileage,Address,Rating,Fuel Type,City MPG,Highway MPG,Drivetrain,Engine,Exterior Color,Interior Color,Transmission,Entertainment,Safety,Price
0, 2016 BMW X5 xDrive35i,"65,811","Colorado Springs, CO 80909",4.8, Gasoline,18,24, AWD, 3.0L I6 24V GDI DOHC Turbo, Silver,-1, 8-Speed Automatic,['Bluetooth'],"['Brake Assist', 'Stability Control']","$27,499"
1, 2011 Dodge Nitro Heat,"90,020","Colorado Springs, CO 80909",4.8, Gasoline,16,22, RWD, 4.0L V6 24V MPFI SOHC, Dark Charcoal Pearl, Dark Slate Gray, 5-Speed Automatic,-1,-1,"$8,699"
2, 2012 INFINITI G25x Base,"105,972","Colorado Springs, CO 80909",4.8, Gasoline,19,27, AWD, 2.5L V6 24V MPFI DOHC, Black Obsidian, Graphite, 7-Speed Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$11,599"
3, 2017 BMW X3 xDrive28i,"36,328","Colorado Springs, CO 80909",3.6, Gasoline,21,28, AWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/122, Black,-1, Automatic,['Bluetooth'],"['Brake Assist', 'Stability Control']","$26,299"
4, 2017 Toyota Tacoma TRD Off Road,"50,021","Colorado Springs, CO 80909",3.6, Gasoline,19,24, 4WD, Regular Unleaded V-6 3.5 L/211, Barcelona Red Metallic,-1, Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control']","$33,620"
5, 2017 Toyota Tacoma SR5,"43,887","Colorado Springs, CO 80909",3.6, Gasoline,19,23, RWD, Regular Unleaded I-4 2.7 L/164, Tan,-1, Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control']","$25,480"
6, 2011 Porsche Cayenne Base,"82,641","Colorado Springs, CO 80909",4.8, Gasoline,16,23, AWD, 3.6L V6 24V GDI DOHC, Silver,-1, 8-Speed Automatic,-1,-1,"$22,999"
7, 2016 Acura MDX,"88,577","Colorado Springs, CO 80909",4.8, Gasoline,19,26, AWD, 3.5L V6 24V GDI SOHC, Gray,-1, 9-Speed Automatic,-1,-1,"$26,199"
8, 2008 Mercedes-Benz E 350 4MATIC,"97,975","Colorado Springs, CO 80909",4.8, Gasoline,16,22, AWD, 3.5L V6 24V MPFI DOHC, Black,-1, 5-Speed Automatic,['Premium Sound System'],"['Brake Assist', 'Stability Control']","$10,099"
9, 2020 Lexus Base,"5,327","Colorado Springs, CO 80909",3.6, Hybrid,-1,-1, FWD, Gas/Electric I-4 2.5 L/152, Eminent White Pearl,-1, Variable,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Lane Departure Warning']","$38,980"
10, 2019 BMW 530e iPerformance,"36,539","Colorado Springs, CO 80909",3.6, Hybrid,-1,-1, RWD, Intercooled Turbo Gas/Electric I-4 2.0 L/122, Gray,-1, Automatic,-1,-1,"$29,730"
11, 2017 Nissan Frontier PRO-4X,"56,387","Colorado Springs, CO 80909",3.6, Gasoline,16,21, 4WD, Regular Unleaded V-6 4.0 L/241, Gun Metallic, PRO-4X, Automatic,-1,-1,"$27,499"
