,Name,Mileage,Address,Rating,Fuel Type,City MPG,Highway MPG,Drivetrain,Engine,Exterior Color,Interior Color,Transmission,Entertainment,Safety,Price
0, 2016 Jeep Grand Cherokee Limited,"82,529","Denver, CO 80204",5, Gasoline,18,25,-1, 3.6L V6 24V MPFI DOHC, Black, Black, 8-Speed Automatic,['Bluetooth'],"['Brake Assist', 'Stability Control']","$23,995"
1, 2016 Ford Explorer Sport,"88,171","Denver, CO 80204",5, Gasoline,16,22, 4WD, 3.5L V6 24V GDI DOHC Twin Turbo, Black, Ebony Black, 6-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Brake Assist', 'Stability Control']","$22,697"
2, 2015 Jeep Grand Cherokee Overland,"110,957","Denver, CO 80204",5, Gasoline,17,24, 4WD, 5.7L V8 16V MPFI OHV, Black, Brown, 8-Speed Automatic,['Bluetooth'],"['Brake Assist', 'Stability Control']","$23,495"
3, 2015 Jeep Cherokee Limited,"83,081","Denver, CO 80204",5, Gasoline,21,28, 4WD, 3.2L V6 24V MPFI DOHC, Black, Tan, 9-Speed Automatic,['Bluetooth'],"['Brake Assist', 'Stability Control']","$16,998"
4, 2014 RAM 1500 SLT,"91,658","Denver, CO 80204",5, Gasoline,16,23, 4WD, 5.7L V8 16V MPFI OHV, Black, Brown, 8-Speed Automatic,['Bluetooth'],"['Brake Assist', 'Stability Control']","$22,495"
5, 2016 Volkswagen Golf GTI SE ONE OWNER LEATHER/SUNROOF SE,"70,793","Denver, CO 80206",5, Gasoline,25,33, FWD, 2.0L I4 16V GDI DOHC Turbo, Blue, Black, 6-Speed Automatic with Auto-Shift,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$16,890"
6, 2015 Ford Explorer XLT,"110,726","Denver, CO 80204",5, E85 Flex Fuel,17,23, 4WD, 3.5L V6 24V MPFI DOHC Flexible Fuel, White, Tan, 6-Speed Automatic,['Bluetooth'],"['Brake Assist', 'Stability Control']","$17,995"
7, 2016 Jeep Grand Cherokee Limited,"115,153","Denver, CO 80204",5, Gasoline,18,25,-1, 3.6L V6 24V MPFI DOHC, Black, Black, 8-Speed Automatic,['Bluetooth'],"['Brake Assist', 'Stability Control']","$20,397"
8, 2018 Volkswagen Atlas 3.6L SE w/Technology,"12,755","Denver, CO 80223",4.9, Gasoline,17,23, AWD, 3.6L V6 24V GDI DOHC, Platinum Gray Metallic, Titan Black, 8-Speed Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Blind Spot Monitor', 'Lane Departure Warning']","$31,559"
9, 2015 Ford Explorer XLT,"117,878","Denver, CO 80204",5, E85 Flex Fuel,17,24, FWD, 3.5L V6 24V MPFI DOHC Flexible Fuel, White, Black, 6-Speed Automatic,['Bluetooth'],"['Brake Assist', 'Stability Control']","$16,495"
10, 2014 GMC Sierra 1500 SLT,"150,324","Denver, CO 80204",5, E85 Flex Fuel,16,22, 4WD, 5.3L V8 16V GDI OHV Flexible Fuel, Silver, Gray, 6-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist']","$25,495"
11,Certified 2018 Volkswagen Tiguan 2.0T SEL,"31,015","Denver, CO 80223",4.9, Gasoline,21,27, AWD, 2.0L I4 16V GDI DOHC Turbo, Platinum Gray Metallic, Black, 8-Speed Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Blind Spot Monitor', 'Rear Cross Traffic Alert']","$23,713"
12, 2015 Jeep Grand Cherokee Limited,"89,348","Denver, CO 80219",5, Gasoline,17,24, 4WD, 3.6L V6 24V MPFI DOHC, Black, Black, 8-Speed Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$19,495"
13, 2018 Volkswagen Tiguan 2.0T SE,"19,593","Lakewood, CO 80214",5, Gasoline,22,27, AWD, 2.0L, White, TAN, Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Blind Spot Monitor']","$23,300"
14, 2019 Subaru Outback 3.6R Limited,"32,918","Lakewood, CO 80214",5, Gasoline,20,27, AWD, 3.6L, Gold, TAN, Continuously Variable,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Blind Spot Monitor', 'Lane Departure Warning', 'Rear Cross Traffic Alert']","$28,900"
15, 2012 Subaru Tribeca 3.6R Limited,"79,111","Lakewood, CO 80214",5, Gasoline,16,21, AWD, 3.6L, Red, BLACK, Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control']","$13,600"
16, 2019 Subaru Crosstrek 2.0i Premium,"88,835","Lakewood, CO 80214",5, Gasoline,23,29, AWD, 2.0L, White, BLACK, Continuously Variable,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control']","$18,900"
17, 2011 Honda CR-V EX-L,"62,313","Lakewood, CO 80214",5, Gasoline,21,28, AWD, 2.4L, Gray, BLACK, Automatic,-1,"['Brake Assist', 'Stability Control']","$13,900"
18, 2018 Subaru Impreza 2.0i,"17,593","Lakewood, CO 80214",5, Gasoline,-1,-1, AWD, 2.0L, Silver, BLACK, Continuously Variable,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control']","$18,900"
19, 2018 Tesla Model 3 Performance,"16,984","Lakewood, CO 80214",5, Electric,120,112, AWD, Electric, White, Black, 1-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Lane Departure Warning']","$48,900"
20, 2007 Lexus GX 470,"150,053","Lakewood, CO 80214",5, Gasoline,15,19, 4WD, 4.7L V8 32V MPFI DOHC, Green, Beige, 5-Speed Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$17,900"
21, 2017 BMW X1 xDrive 28i,"14,231","Denver, CO 80246",4.5, Gasoline,22,31, AWD, 2.0L I4 16V GDI DOHC Turbo, Mineral Gray Metallic, Blue, 8-Speed Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$26,998"
22, 2015 Jeep Grand Cherokee Overland,"53,242","Denver, CO 80221",4.3, Gasoline,17,25, 4WD, Regular Unleaded V-8 5.7 L/345, Bright White Clearcoat, Black, Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Blind Spot Monitor', 'Rear Cross Traffic Alert']","$28,998"
23, 2017 Chevrolet Tahoe LT,"92,921","Englewood, CO 80110",4.7, Gasoline,16,22, 4WD, 5.3L V8 16V GDI OHV, Red, Black, 6-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Brake Assist', 'Stability Control']","$39,337"
24,Certified 2020 Audi Q5 45 Premium Plus,"12,969","Lakewood, CO 80215",4.7, Gasoline,22,28, AWD, 2.0L I4 16V GDI DOHC Turbo, Ibis White, Black, 7-Speed Automatic with Auto-Shift,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking']","$41,491"
