,Name,Mileage,Address,Rating,Fuel Type,City MPG,Highway MPG,Drivetrain,Engine,Exterior Color,Interior Color,Transmission,Entertainment,Safety,Price
0, 2013 Ford F-250 XL,"213,596","Madison Heights, MI 48071",3.5, Gasoline,-1,-1, RWD, 6.2L V8 16V MPFI SOHC, Red, Gray, 6-Speed Automatic,-1,"['Brake Assist', 'Stability Control']","$12,995"
1,Certified 2019 Ford Edge ST,"23,383","Troy, MI 48084",4.8, Gasoline,19,26, AWD, 2.7L V6 24V GDI DOHC Twin Turbo, Ford Performance Blue Metallic, Ebony, 8-Speed Automatic,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control']","$33,950"
2, 2017 GMC Terrain SLE-2,"65,292","Southfield, MI 48034",4.8, Gasoline,21,31, FWD, 2.4L I4 16V GDI DOHC, Silver, Jet Black, 6-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control']","$16,750"
3, 2019 Mercedes-Benz GLC 300 Base,"47,058","Detroit, MI 48206",3.5, Gasoline,22,27, RWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Selenite Grey Metallic,-1, Automatic,"['Bluetooth', 'Rear Seat Entertainment', 'Apple CarPlay/Android Auto']",['Backup Camera'],"$31,799"
4, 2018 Volvo XC60 T5 Momentum,"38,476","Detroit, MI 48206",3.5, Gasoline,22,28, AWD, Intercooled Turbo Regular Unleaded I-4 2.0 L/120, Osmium Grey Metallic,-1, Automatic,['Bluetooth'],"['Backup Camera', 'Blind Spot Monitor']","$33,480"
5, 2018 BMW X3 xDrive30i,"42,047","Detroit, MI 48206",3.5, Gasoline,22,29, AWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/122, Jet Black,-1, Automatic,['Bluetooth'],['Backup Camera'],"$32,299"
6, 2019 Lincoln Nautilus Select,"25,036","Detroit, MI 48206",3.5, Gasoline,21,26, AWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/122, Gray,-1, Automatic,"['Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Lane Departure Warning']","$34,799"
7, 2018 Lincoln Continental Select,"15,040","Detroit, MI 48206",3.5, Gasoline,17,26, FWD, Premium Unleaded V-6 3.7 L/227, Black,-1, Automatic,['Bluetooth'],"['Backup Camera', 'Stability Control', 'Blind Spot Monitor', 'Rear Cross Traffic Alert']","$30,250"
8, 2019 Mercedes-Benz E 300,"28,000","Detroit, MI 48206",3.5, Gasoline,21,30, RWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Gray,-1, Automatic,"['Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor']","$36,499"
9, 2019 GMC Acadia Denali,"16,214","Detroit, MI 48206",3.5, Gasoline,18,25, FWD, Gas V6 3.6L/222, Summit White, Cocoa/ Shale, Automatic,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Blind Spot Monitor', 'Lane Departure Warning', 'Rear Cross Traffic Alert']","$34,780"
