,Name,Mileage,Address,Rating,Fuel Type,City MPG,Highway MPG,Drivetrain,Engine,Exterior Color,Interior Color,Transmission,Entertainment,Safety,Price
0, 2020 Jeep Grand Cherokee Altitude,"9,466","Portland, OR 97232",4.1, Gasoline,18,25, 4WD, 3.6L V6 24V MPFI DOHC, Granite Crystal Clearcoat Metallic, Black, 8-Speed Automatic,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor']","$37,777"
1, 2010 Dodge Dakota Big Horn/Lone Star,"61,111","Portland, OR 97214",4.2, Gasoline,14,18, 4WD, 3.7L V6 12V MPFI SOHC,-1,-1, 4-Speed Automatic,-1,-1,"$16,995"
2, 2021 Dodge Challenger R/T Scat Pack,6,"Portland, OR 97232",4.1, Gasoline,14,23, RWD, 6.4L V8 16V MPFI OHV, Smoke Show, Black, 8-Speed Automatic,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control']","$49,155"
3, 2020 Jeep Cherokee Latitude Plus,"9,716","Portland, OR 97232",4.1, Gasoline,21,29, 4WD, 2.4L I4 16V MPFI SOHC, Granite Crystal Clearcoat Metallic, Black, 9-Speed Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Rear Cross Traffic Alert']","$24,777"
4, 2017 Kia Forte LX,"55,357","Portland, OR 97232",4.1, Gasoline,25,34, FWD, 2.0L I4 16V MPFI DOHC, Black, Black, 6-Speed Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control']","$12,990"
5, 2017 Jaguar XE 25t Prestige,"25,317","Portland, OR 97209",3.6, Gasoline,21,30, RWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/122, Gray,-1, Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control']","$24,230"
6, 2017 Tesla Model S 75D,"26,372","Portland, OR 97209",3.6, Electric,102,105, AWD, Electric, Blue,-1, Automatic,['Bluetooth'],['Backup Camera'],"$47,799"
7, 2018 BMW X2 xDrive28i,"24,408","Portland, OR 97201",4.3, Gasoline,21,31, AWD, 2.0L I4 16V GDI DOHC Turbo, Alpine White, Black, 8-Speed Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control']","$27,999"
8, 2020 BMW X2 xDrive28i,"24,813","Portland, OR 97209",3.6, Gasoline,24,31, AWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/122, Jet Black,-1, Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control', 'Lane Departure Warning']","$29,799"
9, 2018 Jeep Renegade Limited,"29,012","Portland, OR 97239",4.3, Gasoline,21,29, 4WD, 2.4L I4 16V MPFI SOHC, Red, Black, 9-Speed Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control']","$20,990"
