,Name,Mileage,Address,Rating,Fuel Type,City MPG,Highway MPG,Drivetrain,Engine,Exterior Color,Interior Color,Transmission,Entertainment,Safety,Price
0, 2018 BMW M760 i xDrive,"29,777","Houston, TX 77002",4.4, Gasoline,13,204, AWD, 6.6L V12 48V GDI DOHC Twin Turbo, Azurite Black Metallic, Black, 8-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Brake Assist', 'Stability Control', 'Rear Cross Traffic Alert']","$76,337"
1, 2018 Dodge Durango SRT,"14,939","Houston, TX 77098",4.2, Gasoline,13,19, AWD, 6.4L V8 16V MPFI OHV, White Knuckle Clearcoat, Black, 8-Speed Automatic,"['Bluetooth', 'Rear Seat Entertainment', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control']","$53,900"
2, 2017 RAM ProMaster 1500 Low Roof,"138,925","Houston, TX 77008",5, Gasoline,-1,-1, FWD, 3.6L V6 24V MPFI DOHC, White, Gray, 6-Speed Automatic,-1,"['Brake Assist', 'Stability Control']","$21,995"
3, 2017 Kia K900 Luxury 3.8L,"34,839","Houston, TX 77074",4.2, Gasoline,17,25, RWD, 3.8L V6 24V GDI DOHC, White,-1, 8-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Brake Assist', 'Stability Control']","$26,990"
4, 2015 Dodge Durango R/T,"74,736","Houston, TX 77074",4.2, Gasoline,14,23, RWD, 5.7L V8 16V MPFI OHV, Blue, Black, 8-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control']","$27,990"
5, 2017 Jaguar F-PACE 20d,"34,367","Houston, TX 77074",4.2, Diesel,26,33, AWD, 2.0L I4 16V DDI DOHC Turbo Diesel, Dark Sapphire, Jet, 8-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Brake Assist', 'Stability Control']","$28,990"
6, 2020 Volvo XC40 T5 R-Design,"11,103","Houston, TX 77074",4.2, Gasoline,22,30, AWD, 2.0L I4 16V GDI DOHC Turbo, White, Black, 8-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor']","$41,590"
7, 2017 Toyota RAV4 XLE,"30,146","Houston, TX 77074",4.2, Gasoline,23,30, FWD, 2.5L I4 16V MPFI DOHC, Red, Gray, 6-Speed Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Lane Departure Warning']","$21,990"
8, 2018 Genesis G80 3.8,"13,643","Houston, TX 77074",4.2, Gasoline,19,27, RWD, 3.8L V6 24V GDI DOHC, Santiago Silver, Black, 8-Speed Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Lane Departure Warning']","$29,590"
9, 2020 GMC Sierra 1500 SLT,"13,430","Houston, TX 77074",4.2, Gasoline,17,24, RWD, 5.3L V8 16V GDI OHV, Gray, Black, Automatic,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control']","$46,990"
