,Name,Mileage,Address,Rating,Fuel Type,City MPG,Highway MPG,Drivetrain,Engine,Exterior Color,Interior Color,Transmission,Entertainment,Safety,Price
0, 2018 Toyota Highlander Hybrid XLE,"49,685","Indianapolis, IN 46227",4, Hybrid,29,27, AWD, 3.5L V6 24V PDI DOHC Hybrid, Gray, Black, Automatic CVT,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control']","$32,000"
1, 2020 Toyota 4Runner SR5 Sport,"24,654","Indianapolis, IN 46204",4.2, Gasoline,16,19, 4WD, 4.0L V6 24V MPFI DOHC, Black, Black, 5-Speed Automatic,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Lane Departure Warning']","$36,990"
2, 2020 Toyota Highlander XLE,"29,382","Indianapolis, IN 46204",4.2, Gasoline,20,27, AWD, 3.5L V6 24V PDI DOHC, White, Black, 8-Speed Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Lane Departure Warning']","$34,590"
3, 2019 GMC Terrain SLE,"25,397","Indianapolis, IN 46204",4.2, Gasoline,24,28, AWD, 1.5L I4 16V GDI DOHC Turbo, White, Black, 9-Speed Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control']","$22,990"
4, 2019 Volkswagen Golf R 2.0T w/DCC & Navigation,"19,195","Indianapolis, IN 46204",4.2, Gasoline,23,30, AWD, 2.0L I4 16V GDI DOHC Turbo, Deep Black Pearl Effect, Titan Black, 7-Speed Automatic with Auto-Shift,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor']","$38,590"
5, 2016 Kia Forte EX,"41,864","Indianapolis, IN 46204",4.2, Gasoline,25,33, FWD, 2.0L I4 16V GDI DOHC, Silver, Black, 6-Speed Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$14,990"
6, 2018 Kia Optima LX,"20,051","Indianapolis, IN 46204",4.2, Gasoline,25,36, FWD, 2.4L I4 16V GDI DOHC, White, Black, 6-Speed Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Rear Cross Traffic Alert']","$17,590"
7, 2019 Subaru Ascent Limited 8-Passenger,"7,908","Indianapolis, IN 46204",4.2, Gasoline,20,26, AWD, 2.4L H4 16V GDI DOHC Turbo, Crystal Black Silica, Ivory, Automatic CVT,['Bluetooth'],"['Brake Assist', 'Stability Control']","$35,990"
8, 2016 Dodge Challenger SXT,"58,440","Indianapolis, IN 46204",4.2, Gasoline,19,30, RWD, 3.6L V6 24V MPFI DOHC, White, Black, 8-Speed Automatic,['Bluetooth'],"['Brake Assist', 'Stability Control']","$22,990"
9, 2009 Pontiac Solstice,"46,210","Indianapolis, IN 46204",4.2, Gasoline,19,25, RWD, 2.4L I4 16V MPFI DOHC, Gray, Black, 5-Speed Manual,-1,['Stability Control'],"$17,990"
10, 2018 Lexus LX 570,"27,093","Indianapolis, IN 46204",4.2, Gasoline,13,18, 4WD, 5.7L V8 32V MPFI DOHC, Beige, Beige, 8-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Lane Departure Warning']","$68,990"
11, 2020 GMC Yukon SLT,"25,226","Indianapolis, IN 46204",4.2, Gasoline,15,22, RWD, 5.3L V8 16V GDI OHV, White, Gray, Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control']","$49,990"
12, 2018 Chevrolet Equinox 1LT,"32,316","Indianapolis, IN 46204",4.2, Gasoline,24,30, AWD, 1.5L I4 16V GDI DOHC Turbo, Black, Black, 6-Speed Automatic,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control']","$19,990"
13, 2017 Jaguar XJ XJL Portfolio,"35,484","Indianapolis, IN 46227",4, Gasoline,17,25, AWD, 3.0L V6 24V GDI DOHC Supercharged, Italian Racing Red, Truffle / Cashew, 8-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor']","$42,250"
14, 2019 Buick Encore Essence,"47,489","Indianapolis, IN 46219",4.1, Gasoline,25,30, FWD, 1.4L I4 16V GDI DOHC Turbo, Black,-1, 6-Speed Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Rear Cross Traffic Alert']","$20,877"
15, 2017 Kia Optima LX,"50,853","Indianapolis, IN 46219",4.8, Gasoline,25,36, FWD, Regular Unleaded I-4 2.4 L/144, Ebony Black, Black, Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$15,590"
16, 2018 Toyota Sienna XLE,"23,401","Indianapolis, IN 46219",4.7, Gasoline,19,27, FWD, 3.5L V6 24V GDI DOHC, Predawn Gray Mica, Ash, 8-Speed Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Rear Cross Traffic Alert']","$30,860"
17, 2013 Ford Edge Limited,"117,364","Indianapolis, IN 46219",4.7, Gasoline,18,25, AWD, 3.5L V6 24V MPFI DOHC, Tuxedo Black Metallic, Charcoal Black, 6-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control']","$12,960"
18, 2019 GMC Sierra 1500 SLT,"33,586","Indianapolis, IN 46219",4.9, Gasoline,15,21, 4WD, 6.2L V8 16V GDI OHV, White,-1, Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control']","$48,998"
19, 2005 Ford F-350 Lariat Super Duty,"169,421","Indianapolis, IN 46214",4.9, Diesel,-1,-1, 4WD, 6.0L V8 32V DDI OHV Turbo Diesel, White, Beige, 5-Speed Automatic with Overdrive,-1,-1,"$20,991"
20, 2010 Toyota Corolla LE,"43,919","Indianapolis, IN 46234",3.1, Gasoline,26,34, FWD, 1.8L I4 16V MPFI DOHC, White, Ash, 4-Speed Automatic,['Premium Sound System'],"['Brake Assist', 'Stability Control']","$9,999"
21,Certified 2018 BMW 540 i xDrive,"32,316","Indianapolis, IN 46240",4.4, Gasoline,20,29, AWD, Intercooled Turbo Premium Unleaded I-6 3.0 L/183, Black,-1, 8-Speed Automatic w/OD,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$41,799"
22, 2018 Kia Sportage LX,"19,616","Indianapolis, IN 46227",4.5, Gasoline,21,25, AWD, 2.4L I4 16V GDI DOHC, Hyper Red, Gray, 6-Speed Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$20,988"
23, 2019 Nissan Rogue Sport S,"28,834","Indianapolis, IN 46239",4.8, Gasoline,24,30, AWD, 2.0L I4 16V GDI DOHC, Brilliant Silver Metallic, Charcoal, Automatic CVT,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Blind Spot Monitor']","$22,988"
