,Name,Mileage,Address,Rating,Fuel Type,City MPG,Highway MPG,Drivetrain,Engine,Exterior Color,Interior Color,Transmission,Entertainment,Safety,Price
0, 2018 BMW 330 i xDrive,"29,728","Brooklyn, NY 11203",3.5, Gasoline,23,33, AWD, 2.0L I4 16V GDI DOHC Turbo, Alpine White, Black, 8-Speed Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor']","$27,999"
1, 2018 Hyundai Elantra SEL,"32,410","Brooklyn, NY 11203",4.9, Gasoline,28,37, FWD, 2.0L I4 16V MPFI DOHC, Phantom Black, Graphite, 6-Speed Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Rear Cross Traffic Alert']","$14,995"
2, 2018 Mazda CX-9 Touring,"41,198","Middle Village, NY 11379",3.5, Gasoline,20,26, AWD, 2.5L V6 24V, Snowflake White Pearl Metallic, Black, 6-Speed Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Lane Departure Warning', 'Rear Cross Traffic Alert']","$23,995"
3, 2019 Lexus GX 460 Base,"22,740","Brooklyn, NY 11210",3.5, Gasoline,15,18, 4WD, 4.6L V8 32V MPFI DOHC, White,-1, 6-Speed Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$42,042"
4, 2018 Jeep Cherokee Limited,"16,095","Brooklyn, NY 11234",2.8, Gasoline,21,28, 4WD, 2.4L I4 16V MPFI SOHC, Diamond Black, Black, 9-Speed Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$23,995"
5, 2019 Chrysler Pacifica Touring-L,"48,351","Middle Village, NY 11379",3.5, Gasoline,19,28, FWD, 3.6L V6 24V MPFI DOHC, Black, Black, 9-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Lane Departure Warning', 'Rear Cross Traffic Alert']","$19,495"
6, 2018 Honda Accord Sport,"11,632","Brooklyn, NY 11210",3.5, Gasoline,29,35, FWD, 1.5L I4 16V GDI DOHC Turbo, White,-1, Automatic CVT,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Lane Departure Warning']","$21,833"
7, 2015 Chevrolet Tahoe LT,"67,601","Brooklyn, NY 11234",4.8, Gasoline,16,22, 4WD, 5.3L V8 16V GDI OHV, Black, Black, 6-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Lane Departure Warning']","$30,925"
8, 2016 Cadillac CTS 2.0L Turbo Luxury,"34,143","Brooklyn, NY 11234",4.8, Gasoline,21,29, AWD, 2.0L I4 16V GDI DOHC Turbo, Black Raven, Light Platinum / Jet Black, 8-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Lane Departure Warning', 'Rear Cross Traffic Alert']","$24,699"
9, 2018 Hyundai Elantra Value Edition,"13,022","Long Island City, NY 11101",4.5, Gasoline,28,37, FWD, 2.0L I4 16V MPFI DOHC, Quartz White Pearl, Graphite, 6-Speed Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Lane Departure Warning', 'Rear Cross Traffic Alert']","$15,233"
10, 2019 Nissan Sentra SR,"28,546","Queens, NY 11101",3.4, Gasoline,29,37, FWD, 1.8L I4 16V MPFI DOHC, Gun Metallic, Charcoal, Automatic Xtronic CVT,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$10,329"
11,Certified 2018 Honda HR-V EX,"39,205","Woodside, NY 11377",4.8, Gasoline,27,31, AWD, 1.8L I4 16V MPFI SOHC, Gray, Black, Automatic CVT,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$19,000"
12, 2018 Mercedes-Benz GLE 350 Base 4MATIC,"44,366","Richmond Hill, NY 11418",3.4, Gasoline,18,22, AWD, 3.5L V6 24V GDI DOHC, Diamond Silver Metallic, Black Pearl, 7-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control']","$35,980"
13, 2019 Cadillac XTS Luxury,"33,393","Woodside, NY 11377",5, Gasoline,19,28, FWD, 3.6L V6 24V GDI DOHC, Black, Black, 6-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Brake Assist', 'Stability Control']","$25,900"
14, 2018 Audi Q5 2.0T Premium Plus,"43,150","Jamaica, NY 11419",3.4, Gasoline,23,27, AWD, 2.0L I4 16V GDI DOHC Turbo, Mythos Black Metallic, Nougat Brown / Black, 7-Speed Automatic with Auto-Shift,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking']","$24,987"
15, 2018 Mercedes-Benz C 300 4MATIC,"25,654","New York, NY 10019",4.8, Gasoline,22,29, AWD, 2.0L I4 16V GDI DOHC Turbo, Lunar, Black, 9-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor']","$49,901"
16, 2018 BMW M550 i xDrive,"68,244","Jamaica, NY 11433",3.7, Gasoline,16,25, AWD, 4.4L V8 32V GDI DOHC Twin Turbo, Gray, Black, 8-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control']","$34,995"
17, 2018 Honda Accord LX,"10,762","Staten Island, NY 10305",4.5, Gasoline,30,38, FWD, 1.5L I4 16V GDI DOHC Turbo, Red,-1, Automatic CVT,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control', 'Lane Departure Warning']","$18,028"
18, 2018 Honda Odyssey SPORTS,"27,342","Flushing, NY 11358",4.9, Gasoline,19,28, FWD, 3.5L V6 24V GDI SOHC, Gray, Gray, 9-Speed Automatic,['Bluetooth'],"['Brake Assist', 'Stability Control']","$25,059"
19,Certified 2020 Honda CR-V EX-L,"7,437","Bronx, NY 10461",4.5, Gasoline,27,32, AWD, 1.5L I4 16V GDI DOHC Turbo, Charcoal, Black, Automatic CVT,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Lane Departure Warning', 'Rear Cross Traffic Alert']","$30,823"
20, 2017 Jeep Grand Cherokee Limited,"36,414","Great Neck, NY 11021",4.4, Gasoline,18,25, 4WD, 3.6L V6 24V MPFI DOHC, Gray, Black, 8-Speed Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$23,795"
21, 2018 Mercedes-Benz AMG C 43 Base 4MATIC,"30,294","Great Neck, NY 11021",2.3, Gasoline,20,27, AWD, Twin Turbo Premium Unleaded V-6 3.0 L/183, Blue, Gray, Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor']","$34,890"
22, 2014 BMW M5 Base,"55,495","Roslyn, NY 11577",2.4, Gasoline,14,20, RWD, 4.4L V8 32V GDI DOHC Twin Turbo, Black,-1, 7-Speed Automatic with Auto-Shift,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control']","$39,995"
23, 2018 Honda Accord Sport,"26,417","Bronx, NY 10461",4.5, Gasoline,29,35, FWD, 1.5L I4 16V GDI DOHC Turbo, Crystal Black Pearl, Black, Automatic CVT,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Lane Departure Warning']","$21,000"
24, 2018 BMW 540 i xDrive,"57,184","Great Neck, NY 11021",4.4, Gasoline,20,29, AWD, 3.0L I6 24V GDI DOHC Turbo, Gray, Black, 8-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control']","$28,795"
25, 2017 Ford Explorer XLT,"85,159","Little Ferry, NJ 07643",4, E85 Flex Fuel,16,23, 4WD, 3.5L V6 24V MPFI DOHC Flexible Fuel, Blue,-1, 6-Speed Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$21,789"
26, 2014 Chevrolet Suburban 1500 LT,"154,193","Little Ferry, NJ 07643",3.5, E85 Flex Fuel,15,21, 4WD, 5.3L V8 16V MPFI OHV Flexible Fuel, Black, Black, 6-Speed Automatic,"['Bluetooth', 'Premium Sound System']",['Stability Control'],"$13,999"
27, 2018 Toyota Camry XSE,"62,406","Franklin Square, NY 11010",4.7, Gasoline,22,32, FWD, 3.5L V6 24V PDI DOHC, Silver, Red, 8-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Blind Spot Monitor', 'Lane Departure Warning']","$22,850"
28, 2019 Toyota Highlander XLE,"22,993","Bronx, NY 10469",4.3, Gasoline,20,26, AWD, 3.5L V6 24V PDI DOHC, Predawn Gray Mica, Black, 8-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control']","$32,790"
29, 2019 Nissan Armada Platinum,"15,244","Hasbrouck Heights, NJ 07604",4.2, Gasoline,13,18, AWD, 5.6L V8 32V GDI DOHC, Hermosa Blue, Black / Brown, 7-Speed Automatic,"['Bluetooth', 'Rear Seat Entertainment', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Lane Departure Warning']","$45,990"
30, 2013 BMW 328 i xDrive,"61,493","Bronx, NY 10469",4.8, Gasoline,22,33, AWD, 2.0L I4 16V GDI DOHC Turbo, Alpine White, Saddle Brown, 8-Speed Automatic,['Bluetooth'],"['Brake Assist', 'Stability Control']","$14,187"
31, 2018 Audi S4 3.0T Premium Plus,"26,788","Great Neck, NY 11024",4.9, Gasoline,21,30, AWD, 3.0L V6 24V GDI DOHC Turbo, Mythos Black Metallic, Magma Red, 8-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Brake Assist', 'Stability Control']","$39,995"
32, 2020 Mercedes-Benz GLC 300 Base 4MATIC,"9,797","Englewood, NJ 07631",4.8, Gasoline,21,28, AWD, 2.0L I4 16V GDI DOHC Turbo, Graphite Gray Metallic, Magma Grey, 9-Speed Automatic,['Bluetooth'],"['Brake Assist', 'Stability Control']","$44,939"
33, 2010 Subaru Forester 2.5X,"143,208","Woodridge, NJ 07606",3.1, Gasoline,20,26, AWD, 2.5L H4 16V MPFI SOHC, Spark Silver Metallic, Black, 4-Speed Automatic,-1,"['Brake Assist', 'Stability Control']","$5,499"
