,Name,Mileage,Address,Rating,Fuel Type,City MPG,Highway MPG,Drivetrain,Engine,Exterior Color,Interior Color,Transmission,Entertainment,Safety,Price
0, 2019 Chevrolet Silverado 1500 RST,"47,001","Seattle, WA 98125",3.6, Gasoline,19,22, 4WD, 5.3L V8 16V GDI OHV, Black, Black, 8-Speed Automatic,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control']","$42,995"
1, 2021 Hyundai Kona Ultimate,1,"Seattle, WA 98133",2.5, Gasoline,26,29, AWD, 1.6L I4 16V GDI DOHC Turbo, Sonic Silver, Gray / Black, 7-Speed Automatic with Auto-Shift,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Blind Spot Monitor', 'Lane Departure Warning', 'Rear Cross Traffic Alert']","$23,999"
2, 2021 Hyundai Kona EV Ultimate,1,"Seattle, WA 98133",2.5, Electric,132,108, FWD, Electric, Ultra Black, Black, 1-Speed Automatic,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Blind Spot Monitor', 'Lane Departure Warning', 'Rear Cross Traffic Alert']","$41,495"
3, 2018 BMW X5 xDrive35i,"30,534","Seattle, WA 98133",4.7, Gasoline,18,24, AWD, 3.0L I6 24V GDI DOHC Turbo, Alpine White, Black, 8-Speed Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$42,880"
4, 2018 BMW 330 i xDrive,"32,311","Edmonds, WA 98026",4.2, Gasoline,23,33, AWD, 2.0L I4 16V GDI DOHC Turbo, Mineral Gray Metallic, Black / Dark Oyster, 8-Speed Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$36,533"
5, 2016 Buick Enclave Leather,"92,950","Kirkland, WA 98033",4.7, Gasoline,15,22, AWD, 3.6L V6 24V GDI DOHC, Summit White, Ebony, 6-Speed Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor']","$20,992"
6, 2006 Chrysler Town & Country Base,"188,644","Kirkland, WA 98034",3.7, Gasoline,19,26, FWD, 3.3L V6 12V MPFI OHV, Silver, Gray, 4-Speed Automatic,-1,-1,"$2,880"
7, 2014 Subaru Forester 2.0XT Premium,"80,469","Kirkland, WA 98034",3.4, Gasoline,23,28, AWD, 2.0L H4 SOHC 16V, Black, Black, Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$16,950"
8, 2018 Lexus ES 350 Base,"42,278","Lynnwood, WA 98036",4.7, Gasoline,21,30, FWD, 3.5L V6 24V MPFI DOHC, Atomic Silver, Parchment, 6-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Blind Spot Monitor', 'Lane Departure Warning', 'Rear Cross Traffic Alert']","$29,995"
9, 2019 Volvo S60 Momentum,"31,289","Seattle, WA 98101",3.6, Gasoline,-1,-1, AWD, Turbo/Supercharger Premium Unleaded I-4 2.0 L/120, Denim Blue Metallic,-1, Automatic,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor']","$28,400"
10, 2018 Audi S5 Premium Plus,"35,206","Seattle, WA 98101",3.6, Gasoline,21,30, AWD, Intercooled Turbo Premium Unleaded V-6 3.0 L/183, Daytona Gray Pearl Effect,-1, Automatic,['Bluetooth'],"['Backup Camera', 'Stability Control', 'Blind Spot Monitor']","$38,999"
11, 2018 Mercedes-Benz C 300,"18,856","Seattle, WA 98101",3.6, Gasoline,24,33, RWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Lunar Blue Metallic,-1, Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Blind Spot Monitor']","$27,380"
12, 2017 Mazda CX-5 Sport,"19,234","Seattle, WA 98101",3.6, Gasoline,24,31, AWD, Regular Unleaded I-4 2.5 L/152, Sonic Silver Metallic, Black, Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control']","$20,060"
13, 2018 Volkswagen Tiguan 2.0T SEL,"37,660","Seattle, WA 98101",3.6, Gasoline,22,27, AWD, Intercooled Turbo Regular Unleaded I-4 2.0 L/121, Black,-1, Automatic,-1,"['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor']","$22,499"
14, 2018 Alfa Romeo Giulia Ti Sport,"17,197","Seattle, WA 98101",3.6, Gasoline,-1,-1, RWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/122, Silverstone Gray Metallic, Black, Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Rear Cross Traffic Alert']","$27,090"
15, 2019 Ford F-150 XL,"31,843","Seattle, WA 98101",3.6, Gasoline,18,23, RWD, Regular Unleaded 2.7 L EcoBoost, White,-1, Automatic,-1,"['Backup Camera', 'Stability Control']","$29,550"
16, 2017 RAM 1500 Laramie,"32,338","Seattle, WA 98101",3.6, Gasoline,15,21, 4WD, Regular Unleaded V-8 5.7 L/345, Bright White Clearcoat, Black, Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control']","$37,999"
17, 2018 Tesla Model 3 Long Range,"19,576","Seattle, WA 98101",3.6, Electric,120,112, RWD, Electric, Midnight Silver Metallic,-1, Automatic,['Bluetooth'],"['Backup Camera', 'Blind Spot Monitor', 'Lane Departure Warning']","$43,480"
18, 2017 Mercedes-Benz C 300,"28,706","Seattle, WA 98101",3.6, Gasoline,24,34, RWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Black,-1, Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control']","$23,499"
19, 2019 Ford F-150 XLT,"6,598","Lynnwood, WA 98037",4.7, Gasoline,18,23, 4WD, 2.7L V6 24V PDI DOHC Twin Turbo, Black, Black, Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking']","$39,999"
20, 2019 Chrysler Pacifica Limited,"10,403","Bellevue, WA 98005",4.4, Gasoline,19,28, FWD, 3.6L V6 24V MPFI DOHC, Velvet Red Pearlcoat, Black, 9-Speed Automatic,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control']","$33,884"
21, 2018 Honda Pilot EX,"38,308","Seattle, WA 98134",4.8, Gasoline,18,26, AWD, 3.5L V6 24V GDI SOHC, White Diamond Pearl, Black, 6-Speed Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control']","$27,860"
22, 2016 Audi A7 3.0T Premium Plus,"56,615","Lynnwood, WA 98037",4.4, Gasoline,20,30, AWD, 3.0L V6 24V GDI DOHC Supercharged, Glacier White Metallic, Black, 8-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor']","$32,999"
23, 2019 Jeep Grand Cherokee Trackhawk,"10,397","Lynnwood, WA 98037",4.5, Gasoline,11,17, 4WD, 6.2L V8 16V MPFI OHV Supercharged, Diamond Black, Black, 8-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Brake Assist', 'Stability Control']","$89,000"
24, 2014 GMC Acadia Denali,"93,265","Bellevue, WA 98005",4.1, Gasoline,16,23, AWD, 3.6L V6 24V GDI DOHC, White Diamond Tri-Coat, Ebony, 6-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Brake Assist', 'Stability Control', 'Blind Spot Monitor']","$22,000"
25, 2020 Toyota Camry LE,"23,844","Seattle, WA 98104",1, Gasoline,28,39, FWD, 2.5L I4 16V PDI DOHC,-1,-1, 8-Speed Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Lane Departure Warning']","$19,297"
26, 2017 BMW X3 xDrive28i,"29,386","Bellevue, WA 98004",4.5, Gasoline,21,28, AWD, 2.0L I4 16V GDI DOHC Turbo, Glacier Silver Metallic,-1, 8-Speed Automatic,['Bluetooth'],"['Brake Assist', 'Stability Control']","$25,991"
