,Name,Mileage,Address,Rating,Fuel Type,City MPG,Highway MPG,Drivetrain,Engine,Exterior Color,Interior Color,Transmission,Entertainment,Safety,Price
0, 2012 Volvo S60 T5,"91,476","Kansas City, MO 64111",5, Gasoline,20,30, FWD, 2.5L I5 20V MPFI DOHC Turbo, Black Stone, Off Black, 6-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Brake Assist', 'Stability Control']","$9,995"
1, 2019 Ford Escape SE,"56,976","North Kansas City, MO 64116",4.7, Gasoline,23,30, FWD, 1.5L I4 16V GDI DOHC Turbo, Blue, Chromite Gray, 6-Speed Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control']","$16,500"
2, 2017 Dodge Grand Caravan SXT,"45,892","Kansas City, MO 64116",4.8, E85 Flex Fuel,17,25, FWD, 3.6L V6 24V MPFI DOHC Flexible Fuel, Billet Clearcoat, Black / Light Graystone, Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$17,500"
3, 2020 Volvo XC40 T5 R-Design,"11,103","KCMO, MO 64105",4.2, Gasoline,22,30, AWD, 2.0L I4 16V GDI DOHC Turbo, White, Black, 8-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor']","$41,590"
4, 2020 INFINITI QX60 Luxe,"33,903","KCMO, MO 64105",4.2, Gasoline,19,26, AWD, 3.5L V6 24V GDI DOHC, Black, Beige, Automatic CVT,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor']","$29,990"
5, 2020 Nissan Murano Platinum,"17,517","KCMO, MO 64105",4.2, Gasoline,20,28, AWD, 3.5L V6 24V MPFI DOHC, Black, Black, Automatic CVT,"['Bluetooth', 'Premium Sound System']","['Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Lane Departure Warning']","$34,990"
6, 2019 Lincoln Nautilus Reserve,"11,888","KCMO, MO 64105",4.2, Gasoline,20,25, AWD, 2.0L I4 16V GDI DOHC Turbo, Beige, Black, 8-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Lane Departure Warning']","$40,990"
7, 2020 Nissan Armada Platinum,"14,418","KCMO, MO 64105",4.2, Gasoline,13,18, 4WD, 5.6L V8 32V GDI DOHC, Black, Black, 7-Speed Automatic,"['Bluetooth', 'Rear Seat Entertainment', 'Premium Sound System']","['Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Lane Departure Warning']","$52,590"
8, 2020 Volkswagen Tiguan 2.0T S,"14,095","KCMO, MO 64105",4.2, Gasoline,20,27, AWD, 2.0L I4 16V GDI DOHC Turbo, Pure White, Titan Black, 8-Speed Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Blind Spot Monitor']","$22,990"
9, 2019 GMC Acadia SLT-2,"70,640","KCMO, MO 64105",4.2, Gasoline,18,25, FWD, 3.6L V6 24V GDI DOHC, White, Black, 6-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control']","$25,990"
10, 2016 Buick Regal GS,"48,854","Kansas City, MO 64102",3.5, E85 Flex Fuel,-1,-1, AWD, Turbocharged 2.0L/122, Ebony Twilight Metallic, Ebony, Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Stability Control', 'Lane Departure Warning', 'Rear Cross Traffic Alert']","$18,299"
11, 2019 Honda Pilot EX-L,"17,199","Kansas City, MO 64102",3.5, Gasoline,18,26, FWD, Regular Unleaded V-6 3.5 L/212, Crystal Black Pearl,-1, Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Lane Departure Warning', 'Rear Cross Traffic Alert']","$30,599"
12, 2018 Jeep Grand Cherokee Limited,"17,389","Kansas City, MO 64102",3.5, Gasoline,19,26, 4WD, Regular Unleaded V-6 3.6 L/220, True Blue Pearlcoat, Lt Frost Beige/Black, Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Rear Cross Traffic Alert']","$29,500"
13, 2017 Mercedes-Benz E 300,"29,660","Kansas City, MO 64102",3.5, Gasoline,22,30, RWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Red,-1, Automatic,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control']","$32,480"
14, 2018 Mercedes-Benz C 300 4MATIC,"15,415","Kansas City, MO 64102",3.5, Gasoline,23,32, AWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Black,-1, Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control']","$28,480"
15, 2018 Alfa Romeo Stelvio,"10,822","Kansas City, MO 64102",3.5, Gasoline,-1,-1, AWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/122, Montecarlo Blue Metallic, Black, Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$28,299"
16, 2018 Ford F-150 LARIAT,"39,620","Kansas City, MO 64102",3.5, Gasoline,19,24, 4WD, Ecoboost 3.5L V6, Gray,-1, Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Rear Cross Traffic Alert']","$49,280"
17, 2020 Lincoln Nautilus Reserve,"17,548","Kansas City, MO 64102",3.5, Gasoline,21,26, AWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/122, Black,-1, Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Lane Departure Warning']","$40,730"
18, 2018 BMW 540 i xDrive,"32,964","Kansas City, MO 64102",3.5, Gasoline,20,29, AWD, Intercooled Turbo Premium Unleaded I-6 3.0 L/183, Gray,-1, Automatic,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Lane Departure Warning', 'Rear Cross Traffic Alert']","$34,980"
19, 2018 Toyota RAV4 LE,"32,630","Kansas City, MO 64102",3.5, Gasoline,23,30, AWD, Regular Unleaded I-4 2.5 L/152, Super White,-1, Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control', 'Lane Departure Warning']","$20,150"
20, 2017 Audi Q7 3.0T Premium Plus,"38,431","Kansas City, MO 64102",3.5, Gasoline,-1,-1, AWD, Intercooled Supercharger Premium Unleaded V-6 3.0 L/183, Gray,-1, Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor']","$36,980"
21, 2019 Volvo S60 Inscription,"10,284","Kansas City, MO 64102",3.5, Gasoline,-1,-1, FWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/120, Fusion Red Metallic,-1, Automatic,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Lane Departure Warning', 'Rear Cross Traffic Alert']","$31,999"
22,Certified 2017 Chevrolet Silverado 1500 LT,"27,736","Merriam, KS 66202",4.3, Gasoline,-1,22, 4WD, 5.3L V8 16V GDI OHV, Silver Ice Metallic, Jet Black, Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control']","$39,988"
23, 2014 Chevrolet Cruze 1LT,"87,411","Merriam, KS 66202",4.3, Gasoline,26,38, FWD, 1.4L I4 16V MPFI DOHC Turbo, Champagne Silver, Jet Black, 6-Speed Automatic,['Bluetooth'],"['Brake Assist', 'Stability Control']","$9,977"
24, 2017 Lincoln MKZ Reserve,"33,785","Kansas City, MO 64118",4.6, Gasoline,21,31, FWD, 2.0L I4 16V GDI DOHC Turbo, White Gold Metallic, Cappuccino, 6-Speed Automatic,['Bluetooth'],"['Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Rear Cross Traffic Alert']","$23,900"
25, 2014 Ford Fusion SE,"86,379","Merriam, KS 66202",4.3, Gasoline,22,34, FWD, 1.5L I4 16V GDI DOHC Turbo, Sterling Gray Metallic, Ebony, 6-Speed Automatic,['Bluetooth'],"['Brake Assist', 'Stability Control']","$11,977"
