,Name,Mileage,Address,Rating,Fuel Type,City MPG,Highway MPG,Drivetrain,Engine,Exterior Color,Interior Color,Transmission,Entertainment,Safety,Price
0,Certified 2018 BMW X5 eDrive xDrive40e,"39,053","Westlake Village, CA 91362",4.9, Hybrid,-1,-1, AWD, 2.0L I4 16V GDI DOHC Turbo Hybrid, Imperial Blue Metallic, Beige, 8-Speed Automatic,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Blind Spot Monitor']","$38,411"
1,Certified 2018 BMW 530 i,"23,756","Westlake Village, CA 91362",4.9, Gasoline,24,34, RWD, 2.0L I4 16V GDI DOHC Turbo, Alpine White, Black, 8-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control']","$33,511"
2, 2018 Land Rover Range Rover HSE,"24,228","Westlake Village, CA 91362",3.6, Gasoline,17,23, 4WD, V6, Santorini Black, Espresso / Almond / Ivory, Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor']","$79,990"
3, 2018 Alfa Romeo Stelvio Base,"10,822","Simi Valley, CA 93063",3.6, Gasoline,22,28, AWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/122, Montecarlo Blue Metallic, Black, Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$28,299"
4, 2017 Porsche 911 Carrera,"31,522","Los Angeles, CA 91364",1, Gasoline,20,29, RWD, 3.0L H6 24V GDI DOHC Twin Turbo, Black, Black, 7-Speed,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control']","$88,663"
5, 2017 Lexus RX 350 350,"23,406","Los Angeles, CA 91364",4.7, Gasoline,20,27, FWD, 3.5L V6 24V GDI DOHC,-1, Parchment, 8-Speed Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Lane Departure Warning']","$32,751"
6, 2017 Jeep Wrangler Unlimited Sahara,"34,686","Los Angeles, CA 91364",4.7, Gasoline,16,21, 4WD, 3.6L V6 24V MPFI DOHC, Billet Silver Metallic, Black, 5-Speed Automatic,-1,"['Brake Assist', 'Stability Control']","$32,251"
7, 2015 Mercedes-Benz C 250,"99,170","Santa Clarita, CA 91355",4.3, Gasoline,22,31, RWD, 1.8L I4 16V GDI DOHC Turbo, Polar White,-1, 7-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Brake Assist', 'Stability Control']","$12,585"
8, 2017 Subaru Impreza 2.0i Premium,"44,820","Santa Clarita, CA 91355",4.6, Gasoline,28,38, AWD, 2.0L H4 16V GDI DOHC, Crystal Black Silica, Ivory, Automatic CVT,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control']","$16,495"
9, 2014 Ford Explorer XLT,"75,240","Santa Clarita, CA 91355",4.7, Gasoline,17,24, FWD, 3.5L V6 24V MPFI DOHC, Tuxedo Black Metallic,-1, 6-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Stability Control']","$17,999"
10, 2016 Audi S6 4.0T quattro Premium Plus,"76,946","Van Nuys, CA 91406",4.5, Gasoline,18,27, AWD, 4.0L V8 32V GDI DOHC Twin Turbo, Havanna Black Metallic, Black, 7-Speed Automatic with Auto-Shift,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor']","$32,500"
11, 2018 Nissan Sentra SR,"13,301","Santa Clarita, CA 91355",4.6, Gasoline,29,37, FWD, 1.8L I4 16V MPFI DOHC, Black,-1, Automatic CVT,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$14,999"
12, 2018 Ford Fusion Hybrid SE,"11,321","Santa Clarita, CA 91355",4.6, Hybrid,43,41, FWD, 2.0L I4 16V MPFI DOHC Hybrid, Shadow Black,-1, Automatic CVT,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$18,650"
13,Certified 2018 Aston Martin DB11 V12,"10,004","Van Nuys, CA 91406",4.5, Gasoline,15,21, RWD, 5.2L V12 48V GDI DOHC Twin Turbo, Black, Tan, 8-Speed Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$148,750"
14, 2019 Honda Accord Sport,"24,792","Van Nuys, CA 91401",4.6, Gasoline,29,35, FWD, 1.5L I4 16V GDI DOHC Turbo, Platinum White Pearl, Black, Automatic CVT,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Lane Departure Warning']","$23,588"
15, 2020 Lexus ES 350 Base,"8,574","Van Nuys, CA 91401",4.6, Gasoline,22,32, FWD, 3.5L V6 24V PDI DOHC, Nebula Gray Pearl, Black, 8-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Lane Departure Warning']","$34,588"
16, 2017 Toyota Camry LE,"21,084","Los Angeles, CA 91401",4.1, Gasoline,24,33, FWD, 2.5L I4 16V MPFI DOHC, Super White, Black, 6-Speed Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$16,000"
17, 2020 Land Rover Range Rover Velar S,"25,840","Sherman Oaks, CA 91401",4.5, Gasoline,21,27, 4WD, I4, Narvik Black, Ebony / Ebony, Automatic,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control']","$48,995"
18, 2018 Hyundai Sonata SEL,"21,643","Van Nuys, CA 91401",4.8, Gasoline,25,35, FWD, 2.4L I4 16V GDI DOHC, Electric Blue, Gray, 6-Speed Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Rear Cross Traffic Alert']","$16,977"
19, 2019 Dodge Challenger R/T Scat Pack,"4,710","Los Angeles, CA 91401",4.1, Gasoline,14,23, RWD, 6.4L V8 16V MPFI OHV, White Knuckle Clearcoat, Black, 8-Speed Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control']","$45,000"
20, 2017 Ford F-150 Raptor,"86,676","Sherman Oaks, CA 91401",4.5, Gasoline,-1,-1, 4WD, 3.5L V6 24V GDI DOHC Twin Turbo, Oxford White, Black, 10-Speed Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$53,995"
21, 2018 Ford EcoSport SE,"38,220","Pacoima, CA 91331",3.2, Gasoline,27,29, FWD, 1.0L I3 12V GDI DOHC Turbo, White, Black, 6-Speed Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control']","$13,991"
22, 2017 BMW 330 i,"55,453","Pacoima, CA 91331",3.2, Gasoline,23,34, RWD, 2.0L I4 16V GDI DOHC Turbo, Gray, Black, 8-Speed Automatic,['Bluetooth'],"['Brake Assist', 'Stability Control']","$18,991"
23, 2017 Toyota RAV4 Platinum,"39,956","Oxnard, CA 93036",2, Gasoline,22,29, AWD, 2.5L I4 16V MPFI DOHC, Galactic Aqua, Black, 6-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Blind Spot Monitor', 'Lane Departure Warning', 'Rear Cross Traffic Alert']","$25,965"
24, 2018 Mazda Mazda3 Sport,"38,750","Oxnard, CA 93036",3.9, Gasoline,28,37, FWD, 2.0L I4 16V GDI DOHC, Machine Gray Metallic, Black, 6-Speed Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$14,988"
25,Certified 2018 Mercedes-Benz C 300,"26,398","Santa Monica, CA 90403",4.6, Gasoline,22,29, RWD, 2.0L I4 16V GDI DOHC Turbo, Black, Black, 9-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor']","$37,999"
26,Certified 2020 Mercedes-Benz C 300,"5,273","Santa Monica, CA 90403",4.6, Gasoline,21,29, RWD, 2.0L I4 16V GDI DOHC Turbo, Gray, Black, 9-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Brake Assist', 'Stability Control']","$52,668"
27,Certified 2020 Mercedes-Benz GLE 350 Base,"7,293","Santa Monica, CA 90403",4.6, Gasoline,19,26, RWD, 2.0L I4 16V GDI DOHC Turbo, Mojave Silver Metallic, Beige, 9-Speed Automatic,"['Bluetooth', 'Rear Seat Entertainment', 'Premium Sound System']","['Brake Assist', 'Stability Control']","$53,999"
28, 2018 BMW 430 i,"62,395","Santa Monica, CA 90404",4.2, Gasoline,24,34, RWD, 2.0L I4 16V GDI DOHC Turbo, Black,-1, 8-Speed Automatic,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Brake Assist', 'Stability Control']","$26,406"
29, 2018 BMW M4 Base,"25,884","Santa Monica, CA 90404",4.2, Gasoline,17,25, RWD, 3.0L I6 24V GDI DOHC Twin Turbo, Alpine White, Sakhir Orange, 7-Speed Automatic with Auto-Shift,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control']","$55,064"
30,Certified 2020 Chrysler Pacifica Limited,"32,474","Ventura, CA 93003",3.8, Gasoline,19,28, FWD, 3.6L V6 24V MPFI DOHC, Jazz Blue Pearlcoat, Black, 9-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Brake Assist', 'Stability Control']","$34,991"
31, 2018 Audi A6 3.0T quattro Sport,"9,208","Beverly Hills, CA 90211",4.8, Gasoline,20,29, AWD, 3.0L V6 24V GDI DOHC Supercharged, Glacier White Metallic, Black, 8-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Brake Assist', 'Stability Control']","$35,992"
32, 2018 Mazda CX-5 Touring,"18,601","Beverly Hills, CA 90211",4.8, Gasoline,25,31, FWD, 2.5L I4 16V GDI DOHC, Deep Crystal Blue Mica, Black, 6-Speed Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control', 'Lane Departure Warning', 'Rear Cross Traffic Alert']","$22,991"
33, 2020 Lexus ES 350 Base,"5,637","Burbank, CA 91502",3.4, Gasoline,22,32, FWD, 3.5L V6 24V PDI DOHC, Black, Black, 8-Speed Automatic,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Lane Departure Warning']","$36,998"
34, 2020 Hyundai Tucson SE,"21,417","LOS ANGELES, CA 90010",1, Gasoline,22,25, AWD, 2.0L I4 16V GDI DOHC, Cream White Pearl, Gray, 6-Speed Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Lane Departure Warning']","$18,997"
35, 2020 Toyota RAV4 LE,"21,762","LOS ANGELES, CA 90010",1, Gasoline,27,34, AWD, 2.5L I4 16V PDI DOHC, Magnetic Gray Metallic,-1, 8-Speed Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Lane Departure Warning']","$24,797"
36, 2020 Chrysler Pacifica Limited,"54,913","LOS ANGELES, CA 90010",1, Gasoline,19,28, FWD, 3.6L V6 24V MPFI DOHC, Bright White Clearcoat, Cognac, 9-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Brake Assist', 'Stability Control']","$30,697"
37, 2018 Toyota RAV4 Limited,"77,006","Inglewood, CA 90301",3, Gasoline,23,29, FWD, 2.5L I4 16V MPFI DOHC, Galactic Aqua, Black, 6-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Lane Departure Warning', 'Rear Cross Traffic Alert']","$24,114"
38, 2020 BMW 430 Gran Coupe i,"18,849","Glendale, CA 91204",4.6, Gasoline,23,34, RWD, 2.0L I4 16V GDI DOHC Turbo, Silver, Black, 8-Speed Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor']","$31,585"
39, 2020 Jeep Gladiator Sport,"10,802","Inglewood, CA 90301",3, Gasoline,16,23, 4WD, 3.6L V6 24V MPFI DOHC, Bright White Clearcoat, Black, 8-Speed Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$41,250"
40, 2018 Honda Pilot EX,"12,442","Glendale, CA 91204",4.4, Gasoline,19,27, FWD, 3.5L V6 24V GDI SOHC, Obsidian Blue Pearl, Gray, 6-Speed Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control']","$25,995"
41, 2017 BMW 320 i,"32,313","Glendale, CA 91204",4.6, Gasoline,23,35, RWD, 2.0L I4 16V GDI DOHC Turbo, White, Black, Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$17,771"
42, 2017 Jeep Wrangler Unlimited Sahara,"61,607","Inglewood, CA 90301",3, Gasoline,16,21, 4WD, 3.6L V6 24V MPFI DOHC, Rhino Clearcoat, Black, 5-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Brake Assist', 'Stability Control']","$37,995"
