,Name,Mileage,Address,Rating,Fuel Type,City MPG,Highway MPG,Drivetrain,Engine,Exterior Color,Interior Color,Transmission,Entertainment,Safety,Price
0, 2017 GMC Terrain Denali,"62,412","Olympia, WA 98502",3.4, Gasoline,20,28, AWD, 3.6L V6 24V GDI DOHC, Ebony Twilight Metallic, Jet Black, 6-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Lane Departure Warning', 'Rear Cross Traffic Alert']","$24,900"
1, 2020 Chrysler Pacifica Touring-L,"37,776","Olympia, WA 98502",4.1, Gasoline,19,28, FWD, 3.6L V6 24V MPFI DOHC, Brilliant Black Crystal Pearlcoat, Black, 9-Speed Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Rear Cross Traffic Alert']","$29,998"
2, 2020 Honda Accord Sport 1.5T,"1,358","Olympia, WA 98502",4.9, Gasoline,29,35, FWD, 1.5L I4 16V GDI DOHC Turbo, Alabaster Silver Metallic, Black, Automatic CVT,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Lane Departure Warning']","$26,991"
3, 2020 Chrysler 300 S,"5,169","Olympia, WA 98502",4.3, Gasoline,18,27, AWD, 3.6L V6 24V MPFI DOHC, Granite Crystal Clearcoat Metallic, Black, 8-Speed Automatic,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control']","$30,733"
4, 2017 Toyota Tacoma TRD Off Road,"37,716","Olympia, WA 98502",4.3, Gasoline,18,23, 4WD, 3.5L V6 24V PDI DOHC, Magnetic Gray Metallic, Graphite, 6-Speed Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$32,693"
5, 1999 Acura RL 3.5,"186,692","Roy, WA 98580",3.6, Gasoline,18,24, FWD, 3.5L V6 24V MPFI SOHC, Blue, Gray, 4-Speed Automatic,-1,-1,"$3,495"
6, 2019 Nissan Sentra SV,"12,040","Tacoma, WA 98498",3.6, Gasoline,29,37, FWD, Regular Unleaded I-4 1.8 L/110, Brilliant Silver Metallic, Charcoal, Variable,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Rear Cross Traffic Alert']","$16,680"
7, 2020 Volvo S60 T5 Momentum,"11,073","Tacoma, WA 98498",3.6, Gasoline,23,34, FWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/120, Red,-1, Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']",['Backup Camera'],"$27,980"
8, 2016 Jeep Wrangler Unlimited Rubicon,"84,984","Tacoma, WA 98498",3.6, Gasoline,16,21, 4WD, Regular Unleaded V-6 3.6 L/220, Black Clearcoat, Black, Automatic,['Bluetooth'],-1,"$30,730"
9, 2018 GMC Yukon Denali,"44,363","Tacoma, WA 98498",3.6, Gasoline,14,23, 4WD, Gas V8 6.2L/376, Crimson Red Tintcoat, Cocoa/Dark Atmosphere, Automatic,"['Bluetooth', 'Rear Seat Entertainment', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Blind Spot Monitor', 'Lane Departure Warning', 'Rear Cross Traffic Alert']","$50,099"
