,Name,Mileage,Address,Rating,Fuel Type,City MPG,Highway MPG,Drivetrain,Engine,Exterior Color,Interior Color,Transmission,Entertainment,Safety,Price
0, 2020 Nissan Sentra S,6,"Pittsburgh, PA 15235",4.7, Gasoline,29,39, FWD, 2.0L I4 16V MPFI DOHC, Black, Charcoal, Automatic CVT,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Lane Departure Warning']","$19,583"
1, 2018 Land Rover Discovery Sport SE,"52,074","Pittsburgh, PA 15219",4.2, Gasoline,21,25, 4WD, I4, Indus Silver, Ebony / Ebony, Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$25,590"
2, 2014 Honda CR-V EX-L,"87,438","Pittsburgh, PA 15219",4.2, Gasoline,23,31, FWD, 2.4L I4 16V MPFI DOHC, Silver, Brown, 5-Speed Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$16,990"
3, 2017 BMW 340 i xDrive,"21,876","Pittsburgh, PA 15219",4.2, Gasoline,21,31, AWD, 3.0L I6 24V GDI DOHC Turbo, Black, Black,-1,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control']","$32,990"
4, 2020 Mercedes-Benz E 450 4MATIC,"9,402","Pittsburgh, PA 15219",4.2, Gasoline,19,26, AWD, 3.0L V6 24V GDI DOHC Twin Turbo, White, Black, 9-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor']","$64,990"
5, 2018 Honda HR-V EX,"28,753","Pittsburgh, PA 15237",3.4, Gasoline,27,31, AWD, 1.8L I4 16V MPFI SOHC, Aegean Blue Metallic, Black, Automatic CVT,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$19,500"
6, 2021 Kia Forte GT-Line,16,"West Mifflin, PA 15122",4.4, Gasoline,29,40, FWD, 2.0L I4 16V MPFI DOHC, Snow White Pearl, Black, Automatic CVT,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Lane Departure Warning', 'Rear Cross Traffic Alert']","$20,526"
7, 2002 Ford Thunderbird Deluxe,"42,977","Pittsburgh, PA 15234",4.9, Gasoline,17,23, RWD, 3.9L V8 32V MPFI DOHC, Inspiration Yellow, Midnight Black, 5-Speed Automatic,['Premium Sound System'],-1,"$18,988"
8, 2018 Ford Edge SEL,"36,519","Pittsburgh, PA 15237",3.4, Gasoline,20,27, AWD, 3.5L V6 24V MPFI DOHC, Magnetic, Ebony, 6-Speed Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor']","$24,600"
9, 2012 Subaru Outback 2.5i Premium,"60,991","Pitcairn, PA 15146",3.9, Gasoline,22,29, AWD, 2.5L H4 16V MPFI SOHC, Cypress Green Pearl, Taupe, Automatic CVT,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$12,877"
10, 2020 Honda Civic EX-L,"5,577","Monroeville, PA 15146",4.8, Gasoline,32,42, FWD, 1.5L I4 16V GDI DOHC Turbo, Molten Lava Pearl, Black, Automatic CVT,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Lane Departure Warning']","$23,392"
11, 2015 Audi RS 7 4.0T Prestige,"48,839","Pittsburgh, PA 15237",4.7, Gasoline,16,27, AWD, 4.0L V8 32V GDI DOHC Twin Turbo, Gray, Black, 8-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Blind Spot Monitor']","$59,400"
12, 2022 Mitsubishi Eclipse Cross SE,1,"Bethel Park, PA 15102",4.8, Gasoline,25,26, 4WD, 1.5L I4 16V GDI DOHC Turbo, Alloy Silver Metallic, Black, Automatic CVT,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Lane Departure Warning', 'Rear Cross Traffic Alert']","$29,850"
13, 2021 GMC Terrain SLE,5,"Monroeville, PA 15146",4.8, Gasoline,25,30, FWD, 1.5L I4 16V GDI DOHC Turbo, Satin Steel Metallic, Jet Black, 9-Speed Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Lane Departure Warning']","$31,960"
14, 2021 GMC Terrain SLE,7,"Monroeville, PA 15146",4.8, Gasoline,25,30, FWD, 1.5L I4 16V GDI DOHC Turbo, Satin Steel Metallic, Jet Black, 9-Speed Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Lane Departure Warning']","$31,960"
15, 2021 GMC Terrain SLE,5,"Monroeville, PA 15146",4.8, Gasoline,25,30, FWD, 1.5L I4 16V GDI DOHC Turbo, Satin Steel Metallic, Jet Black, 9-Speed Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Lane Departure Warning']","$32,155"
16, 2021 GMC Terrain SLE,3,"Monroeville, PA 15146",4.8, Gasoline,25,30, FWD, 1.5L I4 16V GDI DOHC Turbo, Ebony Twilight Metallic, Jet Black, 9-Speed Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Lane Departure Warning']","$32,155"
17, 2017 Mazda CX-5 Grand Touring,"33,830","Monroeville, PA 15146",5, Gasoline,23,29, AWD, 2.5L I4 16V GDI DOHC, Deep Crystal Blue Mica, Black, 6-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Lane Departure Warning']","$22,996"
18, 2014 Mercedes-Benz GLK 350,"63,588","Monroeville, PA 15146",4.9, Gasoline,19,26, RWD, 3.5L V6 24V GDI DOHC, Polar White, Mocha, 7-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Brake Assist', 'Stability Control']","$16,981"
19, 2010 Lexus RX 350 Base,"115,681","Pittsburgh, PA 15205",4.5, Gasoline,18,24, AWD, 3.5L V6 24V MPFI DOHC, Tungsten Pearl, Light Gray, 6-Speed Automatic,['Bluetooth'],"['Brake Assist', 'Stability Control']","$13,327"
20, 2021 Toyota 4Runner Venture,"3,417","Irwin, PA 15642",4.2, Gasoline,16,19, 4WD, 4.0L V6 24V MPFI DOHC, Silver, Black, 5-Speed Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Lane Departure Warning']","$48,999"
21, 2017 Toyota RAV4 XLE,"32,882","Pittsburgh, PA 15205",4.7, Gasoline,22,29, AWD, 2.5L I4 16V MPFI DOHC, Super White,-1, 6-Speed Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Lane Departure Warning']","$21,600"
22, 2021 Toyota Avalon Hybrid XLE,3,"North Huntingdon, PA 15642",4.9, Hybrid,43,44, FWD, 2.5L I4 16V PDI DOHC Hybrid, Midnight Black Metallic, Black, Automatic CVT,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Lane Departure Warning', 'Rear Cross Traffic Alert']","$36,293"
23, 2019 Mazda CX-3 Touring,"30,722","Wexford, PA 15090",4.7, Gasoline,27,32, AWD, 2.0L I4 16V GDI DOHC, Snowflake White Pearl Mica, Black, 6-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Rear Cross Traffic Alert']","$19,491"
