,Name,Mileage,Address,Rating,Fuel Type,City MPG,Highway MPG,Drivetrain,Engine,Exterior Color,Interior Color,Transmission,Entertainment,Safety,Price
0, 2018 Volvo V60 T5 Dynamic,"37,386","Portland, OR 97214",4.9, Gasoline,25,36, FWD, 2.0L I4 16V GDI DOHC Turbo, Onyx Black Metallic,-1, 8-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Brake Assist', 'Stability Control', 'Automatic Emergency Braking']","$25,800"
1, 2019 Audi A5 2.0T Premium,"22,028","Portland, OR 97201",4.8, Gasoline,23,34, AWD, 2.0L I4 16V GDI DOHC Turbo, Glacier White Metallic, Black / Mercato Blue, 7-Speed Automatic with Auto-Shift,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor']","$38,788"
2, 2009 Volkswagen New Beetle 2.5,"86,721","Portland, OR 97232",4.9, Gasoline,20,29, FWD, 2.5L I5 20V MPFI DOHC, Candy White, Black, 6-Speed Automatic,-1,"['Brake Assist', 'Stability Control']","$8,599"
3, 2018 Toyota Camry XLE,"11,936","Portland, OR 97209",3.6, Gasoline,28,39, FWD, Regular Unleaded V-6 3.5 L/211, Midnight Black Metallic,-1, Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Lane Departure Warning']","$25,799"
4, 2018 Lexus GX 460 Base,"33,065","Portland, OR 97239",4.3, Gasoline,15,18, 4WD, 4.6L V8 32V MPFI DOHC, Gray, Brown, 6-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control']","$39,990"
5, 2017 Jeep Wrangler Unlimited Sahara,"35,836","Portland, OR 97209",3.6, Gasoline,16,21, 4WD, Regular Unleaded V-6 3.6 L/220, Granite Crystal Metallic Clearcoat, Black, Automatic,['Bluetooth'],['Stability Control'],"$33,620"
6, 2018 Ford Explorer XLT,"16,217","Portland, OR 97239",4.3, Gasoline,16,22, 4WD, 2.3L I4 16V GDI DOHC Turbo, White, Black, 6-Speed Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$29,590"
7, 2018 Acura RDX FWD Technology,"32,951","Portland, OR 97209",3.6, Gasoline,-1,-1, FWD, Premium Unleaded V-6 3.5 L/212, White,-1, Automatic,-1,['Stability Control'],"$25,980"
8, 2020 Toyota Highlander LE,"21,996","Portland, OR 97239",4.3, Gasoline,20,27, AWD, 3.5L V6 24V PDI DOHC, Gray, Black, 8-Speed Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control', 'Lane Departure Warning']","$32,990"
9, 2020 Land Rover Discovery Sport SE R-Dynamic,"12,186","Portland, OR 97209",3.6, Gasoline,19,24, 4WD, Intercooled Turbo Premium Unleaded I-4 2.0 L/122, Black,-1, Automatic,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Lane Departure Warning']","$43,480"
