,Name,Mileage,Address,Rating,Fuel Type,City MPG,Highway MPG,Drivetrain,Engine,Exterior Color,Interior Color,Transmission,Entertainment,Safety,Price
0,Certified 2020 Ford F-150 XLT,"24,147","Sacramento, CA 95841",1.2, Gasoline,18,23, 4WD, 3.5L V6 24V PDI DOHC Twin Turbo, Race Red, Gray, Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking']","$46,988"
1,Certified 2018 Toyota 4Runner SR5 Premium,"18,935","Sacramento, CA 95821",4.7, Gasoline,17,20, 4WD, 4.0L V6 24V MPFI DOHC, Barcelona Red, Black, 5-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control']","$42,999"
2, 2019 Nissan Frontier SV,"31,312","Sacramento, CA 95821",4.7, Gasoline,16,23, RWD, 4.0L V6 24V MPFI DOHC, Brilliant Silver Metallic, Steel, 5-Speed Automatic,['Bluetooth'],"['Backup Camera', 'Stability Control']","$24,399"
3, 2017 Mercedes-Benz E 300,"26,542","Carmichael, CA 95608",3.5, Gasoline,22,30, AWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, White,-1, Automatic,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor']","$33,980"
4, 2019 Audi Q5 Premium Plus,"16,594","Carmichael, CA 95608",3.5, Gasoline,-1,-1, AWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Gray,-1, Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor']","$39,980"
5, 2017 Mercedes-Benz GLE 350 Base 4MATIC,"32,413","Carmichael, CA 95608",3.5, Gasoline,18,23, AWD, Premium Unleaded V-6 3.5 L/213, White,-1, Automatic,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Stability Control', 'Blind Spot Monitor', 'Lane Departure Warning']","$34,999"
6, 2018 Buick Envision Preferred,"18,687","Carmichael, CA 95608",3.5, Gasoline,21,27, AWD, Gas I4 2.5L/- TBD –, Ebony Twilight Metallic, Light Neutral, Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Stability Control']","$21,299"
7, 2019 Honda Accord LX,"23,523","Citrus Heights, CA 95621",4.7, Gasoline,30,38, FWD, 1.5L I4 16V GDI DOHC Turbo, Red,-1, Automatic CVT,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Lane Departure Warning']","$26,899"
8, 2011 Audi A5 2.0T Prestige quattro,"69,529","Sacramento, CA 95821",3.7, Gasoline,21,29, AWD, 2.0L I4 16V GDI DOHC Turbo, Brown, Beige, 8-Speed Automatic,-1,"['Brake Assist', 'Stability Control']","$15,995"
9, 2019 Nissan Sentra S,"29,291","Sacramento, CA 95821",4.9, Gasoline,27,35, FWD, 1.8L I4 16V MPFI DOHC, Super Black, Charcoal, Automatic CVT,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$13,850"
10, 2017 Mercedes-Benz C 300 4MATIC,"21,426","Sacramento, CA 95821",4.9, Gasoline,22,29, AWD, 2.0L I4 16V GDI DOHC Turbo, Brilliant Blue Metallic, Black, 9-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor']","$37,890"
11,Certified 2020 Subaru Crosstrek Premium,"8,702","Sacramento, CA 95821",4.5, Gasoline,27,33, AWD, 2.0L H4 16V GDI DOHC, Quartz Blue Pearl, Gray, Automatic CVT,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Lane Departure Warning']","$26,657"
12, 2019 Nissan Sentra SV,"36,676","Sacramento, CA 95821",4.9, Gasoline,29,37, FWD, 1.8L I4 16V MPFI DOHC, Gun Metallic, Charcoal, Automatic CVT,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$15,990"
13,Certified 2020 Nissan Altima 2.5 S,"21,189","Sacramento, CA 95821",4.9, Gasoline,28,39, FWD, 2.5L I4 16V GDI DOHC, Gun Metallic, Charcoal, Automatic CVT,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control']","$19,990"
14, 2013 Lexus RX 450h Base,"122,807","Sacremento, CA 95815",3, Hybrid,30,28, AWD, 3.5L V6 24V MPFI DOHC Hybrid, Gray, Black, Automatic CVT,"['Bluetooth', 'Premium Sound System']","['Brake Assist', 'Stability Control']","$17,950"
15, 2019 Toyota Tacoma SR5,"10,529","Sacremento, CA 95815",3, Gasoline,19,24, RWD, 3.5L V6 24V PDI DOHC, White, Gray, 6-Speed Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Lane Departure Warning']","$34,950"
16, 2020 Nissan Altima 2.5 S,"21,546","SACRAMENTO, CA 95825",1.5, Gasoline,28,39, FWD, 2.5L I4 16V GDI DOHC, Super Black,-1, Automatic CVT,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control']","$18,197"
17, 2017 BMW i8 Base,"22,926","Sacramento, CA 95821",4.7, Hybrid,-1,-1, AWD, 1.5L I3 12V GDI DOHC Turbo Hybrid, Crystal White, Giga Ivory White, 6-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Rear Cross Traffic Alert']","$78,761"
18, 2015 Jeep Wrangler Unlimited Sport,"57,469","Sacramento, CA 95825",3.7, Gasoline,16,21, 4WD, 3.6L V6 24V MPFI DOHC, Green, Black, 5-Speed Automatic,['Bluetooth'],"['Brake Assist', 'Stability Control']","$35,777"
19, 2015 BMW 328 i,"69,056","Sacremento, CA 95815",3, Gasoline,23,35, RWD, 2.0L I4 16V GDI DOHC Turbo, Black Sapphire Metallic, Black, Automatic,['Bluetooth'],"['Brake Assist', 'Stability Control']","$16,400"
20, 2014 Toyota Prius v Five,"130,678","Sacramento, CA 95821",5, Hybrid,44,40, FWD, 1.8L I4 16V MPFI DOHC Hybrid, Maroon, Tan, Automatic CVT,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$10,995"
21, 2014 Subaru Outback 2.5i Limited,"60,000","Sacramento, CA 95821",5, Gasoline,24,30, AWD, 2.5L H4 16V MPFI DOHC, Satin White Pearl, Saddle Brown, Automatic CVT,"['Bluetooth', 'Premium Sound System']","['Brake Assist', 'Stability Control', 'Automatic Emergency Braking']","$19,999"
22, 2019 Jeep Cherokee Latitude Plus,"20,828","Sacremento, CA 95815",3, Gasoline,21,29, 4WD, 2.4L I4 16V MPFI SOHC, Billet Silver Metallic Clearcoat, Black, 9-Speed Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Rear Cross Traffic Alert']","$23,150"
23, 2020 Mazda CX-5 Touring,"21,266","SACRAMENTO, CA 95825",1.5, Gasoline,24,30, AWD, 2.5L I4 16V GDI DOHC, Sonic Silver Metallic, Black, 6-Speed Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Lane Departure Warning', 'Rear Cross Traffic Alert']","$23,897"
24, 2018 Toyota Camry XSE,"23,820","Sacremento, CA 95815",3, Gasoline,28,39, FWD, 2.5L I4 16V PDI DOHC, Red, Ash, 8-Speed Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Blind Spot Monitor', 'Lane Departure Warning', 'Rear Cross Traffic Alert']","$25,200"
