,Name,Mileage,Address,Rating,Fuel Type,City MPG,Highway MPG,Drivetrain,Engine,Exterior Color,Interior Color,Transmission,Entertainment,Safety,Price
0, 2018 Kia Sportage LX,"76,194","South Salt Lake, UT 84119",2.9, Gasoline,21,25, AWD, 2.4L I4 16V GDI DOHC, Mineral Silver, Black, 6-Speed Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$16,000"
1, 2021 GMC Sierra 1500 Denali,29,"South Salt Lake, UT 84119",2.9, Diesel,16,22, 4WD, 3.0L I6 24V DDI DOHC Turbo Diesel, Hunter Metallic,-1, 10-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Rear Cross Traffic Alert']","$59,410"
2, 2021 Buick Encore GX Select,5,"South Salt Lake, UT 84119",2.9, Gasoline,26,29, AWD, 1.3L I3 12V GDI DOHC Turbo, Satin Steel Metallic,-1, 9-Speed Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Blind Spot Monitor', 'Lane Departure Warning', 'Rear Cross Traffic Alert']","$22,352"
3, 2021 Buick Encore GX Select,6,"South Salt Lake, UT 84119",2.9, Gasoline,26,29, AWD, 1.3L I3 12V GDI DOHC Turbo, Ebony Twilight Metallic,-1, 9-Speed Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Blind Spot Monitor', 'Lane Departure Warning', 'Rear Cross Traffic Alert']","$22,352"
4, 2021 Buick Encore GX Select,6,"South Salt Lake, UT 84119",2.9, Gasoline,26,29, AWD, 1.3L I3 12V GDI DOHC Turbo, Burnished Bronze Metallic,-1, 9-Speed Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Blind Spot Monitor', 'Lane Departure Warning', 'Rear Cross Traffic Alert']","$22,352"
5, 2021 Buick Encore GX Select,7,"South Salt Lake, UT 84119",2.9, Gasoline,26,29, AWD, 1.3L I3 12V GDI DOHC Turbo, Satin Steel Metallic,-1, 9-Speed Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Blind Spot Monitor', 'Lane Departure Warning', 'Rear Cross Traffic Alert']","$22,352"
6, 2021 Buick Encore GX Select,6,"South Salt Lake, UT 84119",2.9, Gasoline,26,29, AWD, 1.3L I3 12V GDI DOHC Turbo, Satin Steel Metallic,-1, 9-Speed Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Blind Spot Monitor', 'Lane Departure Warning', 'Rear Cross Traffic Alert']","$22,939"
7, 2021 Chevrolet Silverado 3500 LTZ,5,"West Valley City, UT 84120",4.8, Diesel,-1,-1, 4WD, 6.6L V8 32V DDI OHV Turbo Diesel, Silver Ice Metallic, Jet Black, 10-Speed Automatic,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control']","$72,185"
8, 2021 Chevrolet Malibu LT,10,"West Valley City, UT 84120",4.8, Gasoline,29,36, FWD, 1.5L I4 16V GDI DOHC Turbo, Silver Ice Metallic, Jet Black, Automatic CVT,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Lane Departure Warning', 'Rear Cross Traffic Alert']","$22,919"
9, 2017 Ford Fusion SE,"50,995","Murray, UT 84107",4.9, Gasoline,21,32, FWD, 2.0L I4 16V GDI DOHC Turbo, Magnetic, Ebony, 6-Speed Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$16,089"
10, 2018 Mazda Mazda3 Touring,"29,697","Salt Lake City, UT 84115",4.4, Gasoline,27,36, FWD, 2.5L I4 16V GDI DOHC, Soul Red Metallic, Black, 6-Speed Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control', 'Rear Cross Traffic Alert']","$17,000"
11, 2020 Dodge Durango R/T,"34,853","Murray, UT 84107",4.5, Gasoline,14,22, AWD, 5.7L V8 16V MPFI OHV, Billet Clearcoat Metallic, Black, 8-Speed Automatic,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control']","$39,200"
12, 2019 Mazda CX-3 Touring,"21,790","Murray, UT 84107",4.9, Gasoline,27,32, AWD, 2.0L I4 16V, Soul Red Crystal Metallic, Black, 6-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Rear Cross Traffic Alert']","$20,777"
13, 2017 Ford Explorer sport,"41,727","Salt Lake City, UT 84115",3.9, Gasoline,16,22, 4WD, 3.5L V6 24V GDI DOHC Twin Turbo, Shadow Black, Ebony, 6-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control']","$34,949"
14, 2019 Chevrolet Malibu LT,"60,521","Salt Lake City, UT 84115",4.1, Gasoline,29,36, FWD, 1.5L I4 16V GDI DOHC Turbo, Summit White, Jet Black, Automatic CVT,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control']","$15,930"
15, 2021 Hyundai Elantra SEL,"2,023","Murray, UT 84107",4.5, Gasoline,31,41, FWD, 2.0L I4 16V MPFI DOHC, Intense Blue, Black, Automatic CVT,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Lane Departure Warning', 'Rear Cross Traffic Alert']","$23,335"
16, 2018 Chevrolet Traverse LT Cloth,"46,904","Salt Lake City, UT 84115",4.9, Gasoline,17,25, AWD, 3.6L V6 24V GDI DOHC, Cajun Red Tintcoat, Jet Black, 9-Speed Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Rear Cross Traffic Alert']","$28,170"
17, 2009 Subaru Forester 2.5X,"171,761","Murray, UT 84107",4.9, Gasoline,20,26, AWD, 2.5L H4 16V MPFI SOHC, Sage Green Metallic, Gray, 4-Speed Automatic,-1,"['Brake Assist', 'Stability Control']","$6,905"
18,Certified 2018 BMW X5 xDrive50i,"55,452","Murray, UT 84107",4.6, Gasoline,15,21, AWD, 4.4L V8 32V GDI DOHC Twin Turbo, Glacier Silver Metallic, Black, 8-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Brake Assist', 'Stability Control']","$44,995"
19, 2020 Mercedes-Benz GLE 350 Base 4MATIC,"19,964","Salt Lake City, UT 84111",4.8, Gasoline,19,26, AWD, 2.0L I4 16V GDI DOHC Turbo, Blue,-1, 9-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor']","$54,499"
