,Name,Mileage,Address,Rating,Fuel Type,City MPG,Highway MPG,Drivetrain,Engine,Exterior Color,Interior Color,Transmission,Entertainment,Safety,Price
0, 2018 Mazda CX-5 Grand Touring,"11,759","Escondido, CA 92029",4.1, Gasoline,25,31, FWD, 2.5L I4 16V GDI DOHC, Soul Red Crystal Metallic, Black, 6-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Lane Departure Warning']","$26,800"
1, 2018 Lexus NX 300,"13,213","Escondido, CA 92025",3.4, Gasoline,22,28, FWD, 2.0L I4 16V PDI DOHC Turbo, Silver, Burgundy, 6-Speed Automatic,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Lane Departure Warning']","$31,998"
2,Certified 2019 Jeep Cherokee Limited,"18,106","Escondido, CA 92029",4.1, Gasoline,22,31, 4WD, 3.2L V6, Bright White Clearcoat, Black, 9-Speed 948TE Automatic,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Blind Spot Monitor', 'Lane Departure Warning']","$28,900"
3,Certified 2018 Jeep Grand Cherokee Altitude,"47,904","Escondido, CA 92029",4.1, Gasoline,-1,-1, RWD, 3.6L V6 24V VVT, Rhino Clearcoat, Black, 8-Speed Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control']","$31,900"
4, 2020 BMW X5 xDrive40i,"10,547","Encinitas, CA 92024",4.6, Gasoline,20,26, AWD, 3.0L I6 24V GDI DOHC Turbo, Carbon Black Metallic,-1, 8-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Brake Assist', 'Stability Control']","$62,997"
5, 2015 FIAT 500e Battery Electric,"31,681","Encinitas, CA 92024",4.7, Electric,122,108, FWD, Electric, Nero Puro, Nero Black / White, 1-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Brake Assist', 'Stability Control']","$7,750"
6,Certified 2018 BMW X3 xDrive30i,"39,433","Encinitas, CA 92024",4.6, Gasoline,22,29, AWD, 2.0L I4 16V GDI DOHC Turbo, Alpine White,-1, 8-Speed Automatic,['Bluetooth'],"['Brake Assist', 'Stability Control']","$34,500"
7,Certified 2018 Ford F-150 Platinum,"24,965","Encinitas, CA 92024",4.7, Gasoline,16,22, 4WD, 3.5L V6 24V PDI DOHC Twin Turbo, Ingot Silver Metallic, Black, 10-Speed Automatic,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control']","$55,880"
8,Certified 2018 BMW X1 xDrive28i,"32,518","Encinitas, CA 92024",4.6, Gasoline,22,31, AWD, 2.0L I4 16V GDI DOHC Turbo, Alpine White,-1, 8-Speed Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$25,900"
9,Certified 2018 Ford F-150 Platinum,"8,860","Encinitas, CA 92024",4.7, Gasoline,16,22, 4WD, 3.5L V6 24V PDI DOHC Twin Turbo, Magnetic Metallic, Black, 10-Speed Automatic,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control']","$57,980"
10, 2017 Audi Q7 3.0T Premium Plus,"88,128","Vista, CA 92081",4.6, Gasoline,19,25, AWD, 3.0L V6 24V GDI DOHC Supercharged, Glacier White Metallic, Nougat Brown, 8-Speed Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Rear Cross Traffic Alert']","$33,991"
11, 2012 Mercedes-Benz E 350,"93,661","San Diego, CA 92126",4.8, Gasoline,18,28, RWD, 3.5L V6 24V GDI DOHC, Steel Gray Metallic, Black, 7-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Brake Assist', 'Stability Control']","$17,799"
12, 2009 Volvo S80 3.2,"65,267","San Diego, CA 92126",4.8, Gasoline,16,25, FWD, 3.2L I6 24V MPFI DOHC, Electric Silver Metallic, Black, 6-Speed Automatic,['Bluetooth'],"['Brake Assist', 'Stability Control']","$8,899"
13, 2017 Land Rover Range Rover 5.0L Supercharged,"47,682","San Diego, CA 92126",3.4, Gasoline,14,19, 4WD, 5.0L V8 32V GDI DOHC Supercharged, Santorini Black, Ivory /Ebony / Ivory, 8-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Brake Assist', 'Stability Control']","$66,995"
14, 2017 Land Rover Discovery HSE,"32,665","San Diego, CA 92126",3.4, Gasoline,16,21, 4WD, 3.0L V6 24V GDI DOHC Supercharged, Carpathian Grey, Espresso / Nimbus, 8-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Brake Assist', 'Stability Control']","$42,995"
15, 2018 Land Rover Discovery HSE LUXURY,"39,726","San Diego, CA 92126",3.4, Gasoline,16,21, 4WD, V6, Carpathian Grey, Tan / Ebony, Automatic,"['Bluetooth', 'Premium Sound System']","['Brake Assist', 'Stability Control']","$48,995"
