,Name,Mileage,Address,Rating,Fuel Type,City MPG,Highway MPG,Drivetrain,Engine,Exterior Color,Interior Color,Transmission,Entertainment,Safety,Price
0, 2011 Audi A3 2.0 TDI Premium Plus,"74,621","San Jose, CA 95126",5, Diesel,30,42, FWD, 2.0L I4 16V DDI DOHC Turbo Diesel, White, Luxor Beige, 6-Speed Automatic with Auto-Shift,-1,"['Brake Assist', 'Stability Control']","$13,995"
1,Certified 2020 Subaru Forester Touring,"3,577","San Jose, CA 95117",4.9, Gasoline,26,33, AWD, 2.5L H4 16V GDI DOHC, Ice Silver Metallic, Black, Automatic CVT,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control']","$33,250"
2, 2020 INFINITI Q60 3.0t LUXE,"27,665","San Jose, CA 95122",4.6, Gasoline,19,27, AWD, 3.0L V6 24V GDI DOHC Twin Turbo, Iridium Blue, Stone, 7-Speed Automatic,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control']","$37,800"
3, 2018 Mercedes-Benz AMG GLC 43 Base 4MATIC,"39,298","San Jose, CA 95110",4.2, Gasoline,18,24, AWD, 3.0L V6 24V GDI DOHC Twin Turbo, Blue, Black, 9-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor']","$45,990"
4, 2018 Mercedes-Benz C 300,"14,316","San Jose, CA 95110",4.2, Gasoline,22,29, RWD, 2.0L I4 16V GDI DOHC Turbo, White, Black, 9-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor']","$40,590"
5, 2020 Volvo S60 T6 Momentum,"10,227","San Jose, CA 95110",4.2, Gasoline,21,32, AWD, 2.0L I4 16V GDI DOHC, Black, Off White, 8-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Brake Assist', 'Stability Control']","$29,990"
6, 2020 Volkswagen Atlas Cross Sport 3.6L V6 SE w/Technology,"12,005","San Jose, CA 95110",4.2, Gasoline,17,23, FWD, 3.6L V6 24V GDI DOHC, Tourmaline Blue Metallic, Titan Black, 8-Speed Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Blind Spot Monitor']","$36,990"
7, 2014 BMW 328 i xDrive,"34,227","San Jose, CA 95110",4.2, Gasoline,22,33, AWD, 2.0L I4 16V GDI DOHC Turbo, Gray, Black, 8-Speed Automatic,['Bluetooth'],"['Brake Assist', 'Stability Control']","$18,990"
8, 2020 Hyundai Kona EV Ultimate,"14,833","San Jose, CA 95110",4.2, Electric,132,108, FWD, Electric, White, Black, 1-Speed Automatic,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Lane Departure Warning', 'Rear Cross Traffic Alert']","$36,590"
9, 2020 Ford Fusion Titanium,"28,452","San Jose, CA 95110",4.2, Gasoline,21,31, FWD, 2.0L I4 16V GDI DOHC Turbo, Black, Russet, 6-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor']","$21,990"
10, 2018 Audi Q5 2.0T Premium Plus,"25,817","San Jose, CA 95136",3, Gasoline,23,27, AWD, 2.0L I4 16V GDI DOHC Turbo, Mythos Black Metallic, Black, 7-Speed Automatic with Auto-Shift,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Blind Spot Monitor']","$30,998"
11, 2018 Audi Q5 2.0T Premium Plus,"31,632","San Jose, CA 95136",3, Gasoline,23,27, AWD, 2.0L I4 16V GDI DOHC Turbo, Monsoon Gray Metallic, Black, 7-Speed Automatic with Auto-Shift,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Blind Spot Monitor']","$29,998"
12, 2019 Ford Fiesta SE,"28,820","Santa Clara, CA 95051",3.3, Gasoline,27,35, FWD, 1.6L I4 16V MPFI DOHC, Silver Ingot, Black, 6-Speed Automatic with Auto-Shift,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control']","$12,599"
13,Certified 2018 Chevrolet Silverado 1500 1LT,"30,497","San Jose, CA 95136",4.3, E85 Flex Fuel,18,24, RWD, 4.3L V6 12V GDI OHV Flexible Fuel, Silver Ice Metallic, Black, 6-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control']","$29,999"
