,Name,Mileage,Address,Rating,Fuel Type,City MPG,Highway MPG,Drivetrain,Engine,Exterior Color,Interior Color,Transmission,Entertainment,Safety,Price
0, 2016 Ford F-150 XLT,"49,385","Seattle, WA 98125",4.7, Gasoline,17,23, 4WD, 2.7L V6 24V GDI DOHC Twin Turbo, Ruby Red Metallic Tinted Clearcoat, Medium Earth Gray, 6-Speed Automatic,['Bluetooth'],"['Brake Assist', 'Stability Control']","$34,594"
1,Certified 2018 Toyota Camry LE,"49,495","Seattle, WA 98125",3.9, Gasoline,28,39, FWD, 2.5L I4 16V PDI DOHC, Midnight Black Metallic, Black, 8-Speed Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Lane Departure Warning']","$19,000"
2, 2015 Jeep Renegade Latitude,"37,622","Seattle, WA 98133",4.4, Gasoline,24,31, FWD, 2.4L I4 16V MPFI SOHC, Mojave / Sand, Black, 9-Speed Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$14,980"
3, 2017 BMW 530 i,"26,884","Seattle, WA 98133",4.7, Gasoline,24,34, RWD, 2.0L I4 16V GDI DOHC Turbo, Black Sapphire Metallic, Canberra Beige, 8-Speed Automatic,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control']","$30,880"
4, 2013 Honda CR-V EX-L,"108,800","Kirkland, WA 98033",4.7, Gasoline,22,30, AWD, 2.4L I4 16V MPFI DOHC, Alabaster Silver Metallic, Black, 5-Speed Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$14,410"
5, 2018 Jeep Grand Cherokee Altitude,"11,899","Lynnwood, WA 98036",4.5, Gasoline,18,25, 4WD, 3.6L V6 24V MPFI DOHC, Diamond Black, Black, 8-Speed Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control']","$34,998"
6, 2017 Lexus RX 350 350,"32,196","Lynnwood, WA 98036",4.7, Gasoline,19,26, AWD, 3.5L V6 24V GDI DOHC, Atomic Silver, Black, 8-Speed Automatic,['Bluetooth'],"['Backup Camera', 'Stability Control', 'Automatic Emergency Braking', 'Lane Departure Warning']","$34,990"
7, 2018 Hyundai Elantra SE,"27,645","Kirkland, WA 98033",4.7, Gasoline,29,38, FWD, 2.0L I4 16V MPFI DOHC, Machine Gray, Graphite, 6-Speed Automatic,['Bluetooth'],"['Brake Assist', 'Stability Control']","$13,992"
8, 2013 Subaru Legacy 2.5i Premium,"112,318","Kirkland, WA 98033",4.7, Gasoline,24,32, AWD, 2.5L H4 16V MPFI DOHC, Ice Silver Metallic, Dark Gray, Automatic CVT,['Bluetooth'],"['Brake Assist', 'Stability Control']","$9,810"
9, 2016 Mazda MX-5 Miata Grand Touring,"17,730","Kirkland, WA 98033",4.7, Gasoline,27,34, RWD, 2.0L I4 16V, Soul Red, Tan, 6-Speed Manual,"['Bluetooth', 'Premium Sound System']","['Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Lane Departure Warning']","$23,992"
