,Name,Mileage,Address,Rating,Fuel Type,City MPG,Highway MPG,Drivetrain,Engine,Exterior Color,Interior Color,Transmission,Entertainment,Safety,Price
0, 2013 Audi Q5 2.0T Premium Plus,"108,335","Tacoma, WA 98409",4.8, Gasoline,20,28, AWD, 2.0L I4 16V GDI DOHC Turbo, Brilliant Black, Black, 8-Speed Automatic,['Premium Sound System'],"['Brake Assist', 'Stability Control']","$16,990"
1, 2019 Ford F-350 Limited,"8,238","Tacoma, WA 98409",4.5, Diesel,-1,-1, 4WD, 6.7L V8 32V DDI OHV Turbo Diesel, Black, Camelback, 6-Speed Automatic,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Lane Departure Warning']","$83,000"
2, 2019 Dodge Charger SXT,"26,913","Tacoma, WA 98409",4, Gasoline,19,30, RWD, Regular Unleaded V-6 3.6 L/220, Pitch Black Clearcoat, Black, Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$23,781"
3, 2018 Mazda CX-5 Touring,"54,585","Tacoma, WA 98409",4, Gasoline,24,30, AWD, Regular Unleaded I-4 2.5 L/152, Snowflake White Pearl Mica, Black, Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Lane Departure Warning', 'Rear Cross Traffic Alert']","$22,987"
4, 2019 INFINITI QX80 Luxe,"32,954","Tacoma, WA 98409",4.2, Gasoline,13,19, AWD, 5.6L V8 32V GDI DOHC, Hermosa Blue, Graphite / Stone, 7-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Brake Assist', 'Stability Control']","$46,664"
5, 2017 Mercedes-Benz GLS 450 Base 4MATIC,"53,634","Fife, WA 98424",4.8, Gasoline,19,22, AWD, 3.0L V6 24V GDI DOHC Twin Turbo, Designo Cardinal Red,-1, 9-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Brake Assist', 'Stability Control']","$40,448"
6, 2011 BMW X5 xDrive35i,"78,021","Puyallup, WA 98371",4.5, Gasoline,16,23, AWD, 3.0L I6 24V GDI DOHC Turbo, Blue, Black, 8-Speed Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$14,999"
7, 2017 Ford Explorer sport,"26,864","Puyallup, WA 98371",4.9, Gasoline,16,22, 4WD, 3.5L V6 24V GDI DOHC Twin Turbo, Gray, Black, 6-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Brake Assist', 'Stability Control']","$37,999"
8, 2020 Nissan Armada SL,"28,957","Puyallup, WA 98371",4.8, Gasoline,13,18, 4WD, 5.6L V8 32V GDI DOHC, Brilliant Silver Metallic, Black, 7-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Brake Assist', 'Stability Control']","$41,995"
9, 2018 Toyota Highlander XLE,"29,920","Sumner, WA 98390",4.8, Gasoline,20,26, AWD, 3.5L V6 24V PDI DOHC, Blizzard Pearl, Black, 8-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor']","$32,222"
10, 2018 Subaru Forester 2.5i Touring,"14,830","Auburn, WA 98001",5, Gasoline,26,32, AWD, 2.5L H4 16V MPFI DOHC, Ice Silver Metallic, Black, Automatic CVT,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Lane Departure Warning']","$28,550"
11, 2019 INFINITI QX80 Luxe,"32,091","Auburn, WA 98002",4.7, Gasoline,13,19, AWD, 5.6L V8 32V GDI DOHC, Black Obsidian, Graphite / Stone, 7-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Brake Assist', 'Stability Control', 'Blind Spot Monitor']","$45,500"
12, 2018 Land Rover Discovery Sport HSE,"29,171","Burien, WA 98168",4.9, Gasoline,21,25, 4WD, I4, Narvik Black, Ebony, Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor']","$37,991"
13, 2020 Land Rover Range Rover Velar S,"14,756","Seattle, WA 98168",4.6, Gasoline,21,27, 4WD, I4, Fuji White, Ebony / Ebony, Automatic,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Lane Departure Warning']","$54,320"
14, 2019 Ford Edge SEL,"51,998","Seattle, WA 98168",4.6, Gasoline,21,28, AWD, 2.0L I4 16V GDI DOHC Turbo, Oxford White, Black, 8-Speed Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Blind Spot Monitor', 'Lane Departure Warning', 'Rear Cross Traffic Alert']","$25,616"
15, 2020 Kia Sorento LX,"49,015","Seattle, WA 98168",4.6, Gasoline,19,26, FWD, 3.3L V6 24V GDI DOHC, Gray, Black, 8-Speed Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor']","$21,621"
16, 2020 Jeep Wrangler Unlimited Sport,"14,599","Seattle, WA 98168",4.6, Gasoline,17,23, 4WD, 3.6L V6 24V MPFI DOHC, Billet Silver, Black, 8-Speed Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$39,989"
17, 2019 Chrysler Pacifica Touring-L,"42,006","Seattle, WA 98168",4.6, Gasoline,19,28, FWD, 3.6L V6 24V MPFI DOHC, Granite Crystal, Black, 9-Speed Automatic,"['Bluetooth', 'Apple CarPlay/Android Auto']","['Backup Camera', 'Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Rear Cross Traffic Alert']","$24,080"
18, 2020 Land Rover Range Rover Velar S,"10,999","Seattle, WA 98168",4.6, Gasoline,21,27, 4WD, I4, Narvik Black, Ebony / Ebony, Automatic,"['Bluetooth', 'Premium Sound System', 'Apple CarPlay/Android Auto']","['Brake Assist', 'Stability Control', 'Blind Spot Monitor', 'Lane Departure Warning']","$57,981"
19, 2017 Ford Explorer sport,"84,933","Kent, WA 98032",4.8, Gasoline,16,22, 4WD, 3.5L V6 24V GDI DOHC Twin Turbo, Oxford White, Ebony Black, 6-Speed Automatic,"['Bluetooth', 'Premium Sound System']","['Backup Camera', 'Brake Assist', 'Stability Control']","$27,880"
20, 2018 Ford Explorer XLT,"60,732","Seattle, WA 98168",4.6, Gasoline,16,22, 4WD, 3.5L V6 24V MPFI DOHC, Cinnamon Glaze, Black, 6-Speed Automatic,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control']","$33,045"
21, 2018 Toyota Corolla LE,"84,164","Seattle, WA 98168",4.6, Gasoline,28,36, FWD, 1.8L I4 16V MPFI DOHC, Super White, Black, Automatic CVT,['Bluetooth'],"['Backup Camera', 'Brake Assist', 'Stability Control', 'Automatic Emergency Braking', 'Lane Departure Warning']","$13,005"
